Time (seconds),strength,x,y,z,pitch,roll
Time (seconds),strength,x,y,z,pitch,roll,mx,my,mz
318.17,,-1020,-128,112,,,52.35,-73.5,-109.2
318.23,,-1020,-112,124,,,54,-41.55,-121.8
318.27,,-1020,-176,252,,,54.45,-40.05,-119.55
318.30,,-1004,-88,88,,,53.25,-40.35,-119.1
318.38,,-1044,-100,56,,,54.3,-39.75,-117.15
318.41,,-956,-64,28,,,55.05,-40.05,-116.7
318.45,,-1040,-80,44,,,54.75,-38.7,-115.8
318.48,,-1000,-80,0,,,55.05,-38.25,-114.3
318.52,,-948,-80,16,,,55.05,-39,-114.45
318.56,,-1020,16,-36,,,54.6,-39.15,-113.85
318.63,,-1048,-60,-8,,,53.85,-38.85,-114.3
318.66,,-1084,8,-32,,,54.6,-38.85,-114
318.70,,-1004,-8,-72,,,54,-37.5,-114.3
318.74,,-672,-780,152,,,53.85,-37.8,-115.2
318.77,,-1008,8,-24,,,54,-38.4,-115.2
318.81,,-1024,-132,12,,,53.7,-39,-115.65
318.85,,-1008,-172,24,,,53.7,-39.15,-116.7
318.92,,-1032,-140,32,,,54.3,-39.15,-116.55
318.96,,-1028,-152,28,,,54,-39.75,-117
318.99,,-1024,-112,44,,,53.55,-39.3,-117
319.03,,-1016,-160,56,,,53.85,-40.2,-117.9
319.06,,-1024,-140,52,,,53.7,-40.65,-117.9
319.10,,-1020,-200,48,,,54.6,-41.7,-118.35
319.17,,-1004,-124,36,,,54.75,-39.75,-116.7
319.21,,-1008,-80,8,,,53.85,-40.2,-116.25
319.24,,-1008,-96,0,,,54,-39.9,-116.55
319.28,,-1040,-44,-8,,,54.3,-38.85,-115.95
319.32,,-1012,-104,-8,,,54.3,-38.85,-115.35
319.35,,-1028,-68,4,,,54.6,-39.3,-116.55
319.42,,-1028,-60,28,,,53.25,-39,-116.1
319.46,,-1016,-76,20,,,54.45,-39.45,-116.85
319.50,,-1020,-100,16,,,54.45,-39.75,-116.4
319.54,,-1036,-80,32,,,53.7,-38.85,-116.55
319.57,,-1020,-72,24,,,54.3,-39.3,-115.35
319.61,,-1004,-88,12,,,53.85,-39.45,-115.5
319.68,,-1044,-104,24,,,54.6,-38.55,-115.35
319.72,,-1024,-76,28,,,54.75,-39,-116.55
319.75,,-1036,-148,12,,,53.4,-39.75,-115.95
319.79,,-1028,-148,-4,,,53.55,-39.3,-115.95
319.82,,-984,-192,-20,,,54.75,-39.6,-116.55
319.86,,-988,-196,4,,,53.85,-39.6,-116.55
319.93,,-976,-172,-4,,,53.55,-39.3,-117
319.97,,-948,-196,32,,,53.85,-39.3,-116.1
320.00,,-1032,-216,48,,,53.55,-39.3,-116.7
320.04,,-1044,-268,92,,,54.15,-39.45,-116.4
320.08,,-1040,-196,68,,,54.75,-40.05,-116.7
320.12,,-984,-188,40,,,54.3,-38.85,-116.25
320.19,,-948,-212,96,,,54.9,-39.75,-116.55
320.22,,-972,-200,52,,,55.2,-40.05,-115.95
320.26,,-948,-196,104,,,54.15,-40.2,-115.8
320.30,,-988,-240,104,,,54,-40.35,-115.35
320.33,,-968,-204,108,,,55.65,-39,-114.9
320.37,,-972,-168,68,,,54.75,-40.5,-115.2
320.44,,-1252,-148,224,,,54.9,-42.6,-116.85
320.48,,-1164,-268,-28,,,55.95,-42.15,-118.35
320.51,,-1132,-180,-132,,,54.75,-44.1,-119.25
320.55,,-916,-48,-120,,,56.7,-45.45,-121.05
320.59,,-1016,-28,-16,,,56.4,-46.5,-121.5
320.62,,-1120,-100,-12,,,57,-45.75,-121.65
320.69,,-936,40,32,,,57.6,-48.9,-122.4
320.73,,-908,32,12,,,57,-49.95,-123.45
320.77,,-992,92,104,,,57.3,-50.7,-124.2
320.80,,-1076,108,128,,,57.45,-51.45,-123.9
320.84,,-1032,36,136,,,57.75,-52.2,-124.35
320.88,,-944,88,328,,,58.5,-53.1,-127.05
320.95,,-936,296,268,,,57.45,-54.6,-127.65
320.98,,-888,-108,-232,,,57.75,-53.1,-128.4
321.02,,-840,148,-216,,,58.2,-54.15,-129.15
321.06,,-1544,0,-36,,,57.3,-53.85,-130.2
321.09,,-1200,-96,52,,,57.3,-54.9,-131.7
321.13,,-972,52,136,,,57.15,-55.2,-131.25
321.20,,-700,-76,-64,,,57.9,-55.2,-130.35
321.24,,-652,-356,-72,,,57.75,-54.3,-129.9
321.27,,-868,-236,108,,,57.9,-53.7,-130.35
321.31,,-752,56,292,,,58.35,-53.25,-130.05
321.35,,-868,100,512,,,57.9,-52.05,-130.5
321.38,,-1080,40,380,,,58.65,-51.75,-130.8
321.46,,-1592,224,-796,,,56.85,-55.05,-135
321.49,,-1156,-452,-160,,,57.15,-55.95,-135.9
321.53,,-1564,12,-48,,,58.05,-56.85,-136.95
321.56,,-1628,132,-12,,,57,-54.6,-137.4
321.60,,-1152,116,64,,,57.45,-54.9,-135.75
321.64,,-796,20,8,,,57.75,-56.25,-136.95
321.71,,-492,216,-40,,,58.2,-58.95,-136.65
321.74,,-556,216,60,,,58.2,-58.8,-137.25
321.78,,-712,44,220,,,59.4,-60.3,-137.25
321.82,,-1020,-88,260,,,58.35,-62.25,-138.75
321.85,,-1088,120,420,,,59.4,-63.3,-140.4
321.89,,-1200,260,252,,,59.4,-64.2,-139.95
321.96,,-1668,540,-472,,,59.1,-62.4,-139.95
322.00,,-1520,-372,-4,,,59.1,-63,-140.7
322.04,,-968,-108,36,,,58.8,-65.1,-141.3
322.07,,-908,-12,96,,,58.65,-64.5,-141.45
322.11,,-724,-144,-120,,,58.05,-62.7,-140.1
322.14,,-548,-308,-120,,,58.2,-61.8,-137.7
322.32,,-908,156,512,,,57.45,-54.9,-136.8
322.36,,-904,124,-1336,,,57.45,-58.05,-140.55
322.39,,-1824,-896,-8,,,56.25,-58.95,-141.75
322.43,,-1552,-368,-80,,,55.95,-57.9,-141.45
322.46,,-1748,260,4,,,55.8,-55.95,-140.1
322.50,,-1076,136,56,,,55.65,-54.9,-139.8
322.57,,-560,152,-52,,,55.35,-55.05,-139.95
322.61,,-432,180,-40,,,55.5,-55.5,-140.25
322.64,,-416,144,72,,,55.2,-57.45,-140.25
322.68,,-544,100,36,,,55.5,-58.2,-141
322.72,,-924,100,300,,,54.3,-59.4,-141.15
322.75,,-1096,-104,216,,,55.05,-61.5,-142.95
322.83,,-2040,-1056,-200,,,54.9,-61.95,-144.3
322.86,,-1080,900,-296,,,53.55,-61.5,-144.6
322.90,,-1700,676,-356,,,54.45,-60,-144
322.94,,-1604,-380,12,,,52.8,-61.2,-146.25
322.97,,-1056,-192,80,,,51.9,-61.5,-146.55
323.01,,-960,-56,12,,,53.4,-60.9,-145.35
323.08,,-580,-308,-120,,,53.4,-58.2,-143.1
323.12,,-572,-28,24,,,52.05,-56.85,-142.95
323.15,,-692,28,188,,,52.95,-54.6,-141.6
323.19,,-724,96,292,,,51.9,-52.2,-140.1
323.22,,-880,88,436,,,51.45,-51.15,-139.95
323.26,,-984,208,256,,,51,-51,-139.65
323.33,,-1560,-836,-216,,,49.65,-53.7,-144.6
323.37,,-872,-488,-168,,,49.65,-55.2,-146.4
323.41,,-1736,248,-128,,,48.75,-51.45,-143.7
323.44,,-1264,240,-60,,,48.6,-50.55,-142.8
323.48,,-1032,108,-32,,,48.3,-50.85,-142.5
323.52,,-732,200,0,,,48.75,-51,-142.95
323.59,,-668,156,56,,,48.15,-51.75,-142.5
323.62,,-692,140,96,,,48.75,-52.65,-143.85
323.66,,-748,104,228,,,47.85,-54.45,-145.95
323.70,,-980,-72,60,,,46.65,-55.95,-146.4
323.73,,-1120,-72,136,,,46.8,-57,-146.7
323.77,,-884,76,316,,,46.65,-56.25,-147.6
323.84,,-1164,492,-104,,,45.15,-53.7,-147
323.88,,-1324,-4,-332,,,45.75,-54.15,-147.75
323.91,,-1420,-104,-208,,,44.7,-55.95,-148.5
323.95,,-1004,-120,-312,,,44.55,-55.8,-148.35
323.98,,-988,40,-324,,,43.35,-57.15,-148.5
324.02,,-836,-44,-328,,,43.35,-56.1,-150
324.10,,-924,-144,-256,,,42,-57.45,-151.05
324.13,,-904,8,-192,,,41.85,-57.15,-150.3
324.17,,-916,-72,-140,,,41.25,-57.15,-150.9
324.20,,-936,-164,-152,,,40.95,-58.5,-151.05
324.24,,-968,-116,-152,,,41.25,-58.95,-151.8
324.28,,-1004,-120,-96,,,40.05,-60.15,-151.65
324.35,,-1076,-140,12,,,39.9,-60,-152.4
324.38,,-1036,-200,80,,,39.3,-60.15,-152.55
324.42,,-968,-176,80,,,39.75,-60.45,-152.55
324.46,,-1036,0,-120,,,38.55,-60.6,-153.3
324.49,,-1312,-4,-92,,,39,-61.95,-153.15
324.53,,-832,-292,-108,,,38.25,-66.6,-156.15
324.60,,-980,-8,-108,,,37.65,-69,-157.2
324.64,,-1136,12,-72,,,35.7,-69.9,-158.4
324.67,,-1040,-56,4,,,36.6,-73.95,-159
324.71,,-984,-48,164,,,35.25,-76.8,-160.35
324.75,,-1028,116,0,,,34.8,-79.05,-161.85
324.78,,-992,4,-12,,,33.75,-82.05,-162.15
324.86,,-936,72,28,,,32.55,-87.45,-163.05
324.89,,-1020,-56,160,,,32.55,-91.2,-162.3
324.93,,-1088,20,212,,,33,-91.8,-162
324.96,,-1040,-12,340,,,32.55,-95.25,-161.55
325.00,,-1068,-36,456,,,33.15,-97.65,-159.9
325.04,,-996,80,460,,,34.2,-97.8,-158.7
325.11,,-668,-212,-672,,,35.25,-96.45,-158.55
325.15,,-1664,504,-292,,,36.45,-96.75,-158.1
325.18,,-1372,-316,-136,,,35.7,-96.3,-157.8
325.22,,-1056,-128,84,,,36.15,-97.05,-157.5
325.25,,-928,-80,36,,,37.5,-96.75,-157.95
325.29,,-764,-124,-44,,,39.45,-97.05,-159.45
325.36,,-692,-240,-68,,,40.5,-96.75,-158.7
325.40,,-808,-92,44,,,41.1,-96.3,-161.1
325.44,,-824,-4,284,,,40.35,-95.1,-161.7
325.47,,-1028,24,360,,,41.1,-95.1,-162.15
325.51,,-1108,-84,308,,,40.8,-94.35,-163.65
325.54,,-1040,-16,-16,,,41.4,-94.35,-164.85
325.62,,-1032,-324,-304,,,40.5,-99.6,-165.3
325.65,,-1144,-448,-208,,,39.75,-100.35,-165.3
325.69,,-1492,204,-164,,,40.35,-99.15,-166.5
325.72,,-1084,184,-44,,,40.95,-99.75,-166.5
325.76,,-912,72,-80,,,40.65,-101.1,-166.5
325.80,,-808,80,-36,,,40.35,-102.75,-166.2
325.87,,-816,40,88,,,40.65,-105.45,-164.7
325.90,,-772,-68,192,,,39.75,-107.7,-163.95
325.94,,-764,36,328,,,39.15,-109.8,-163.5
325.98,,-856,-8,232,,,39.45,-111.15,-163.05
326.02,,-848,28,280,,,39.15,-112.35,-162.45
326.09,,-1284,-40,-340,,,40.65,-111.9,-163.95
326.12,,-1424,288,-328,,,39.6,-112.5,-165
326.16,,-1452,-112,-272,,,39.15,-113.7,-165.6
326.20,,-1152,-160,-80,,,38.7,-115.05,-165.9
326.23,,-1148,-96,-12,,,39,-114,-165.15
326.27,,-920,-76,52,,,38.85,-114.15,-165.6
326.46,,-816,-180,4,,,36.15,-114.3,-171.75
326.49,,-1280,368,-192,,,35.55,-115.65,-170.85
326.53,,-1452,84,-220,,,34.05,-116.7,-171.3
326.56,,-1124,-160,-188,,,35.4,-117.15,-171.6
326.60,,-1304,28,-408,,,34.35,-118.5,-172.05
326.64,,-1156,248,-360,,,33.45,-116.55,-172.35
326.71,,-916,244,-364,,,33.75,-118.35,-171.15
326.75,,-840,160,-320,,,33.75,-118.8,-169.95
326.78,,-880,136,-300,,,33,-119.25,-166.35
326.82,,-892,96,-244,,,32.55,-120,-165.3
326.86,,-980,104,-228,,,31.8,-121.05,-162.45
326.89,,-980,36,-192,,,31.05,-122.25,-159.9
326.96,,-996,4,-152,,,30.9,-122.4,-157.05
327.00,,-980,-4,-72,,,30.6,-122.7,-154.35
327.04,,-956,20,-56,,,29.25,-121.2,-152.55
327.07,,-928,-40,-24,,,29.7,-121.8,-150.6
327.11,,-928,-32,4,,,29.7,-121.35,-149.4
327.14,,-932,-20,16,,,28.8,-121.8,-148.35
327.22,,-1220,-208,-96,,,29.1,-123.45,-149.7
327.25,,-1324,-212,-188,,,29.1,-123,-150.75
