Time (seconds),strength,x,y,z,pitch,roll
181.63,,1016,-28,-92,,
182.27,,1020,-24,-88,,
182.91,,1036,-52,-80,,
183.55,,1020,-60,-76,,
184.19,,964,-128,-92,,
184.83,,1020,-176,-28,,
185.47,,1012,-132,-32,,
186.11,,1036,-156,-48,,
186.75,,1060,44,-96,,
187.39,,1228,132,-168,,
188.03,,1192,-164,-312,,
188.67,,1284,-272,-248,,
189.31,,1160,180,-464,,
189.95,,1020,360,-4,,
190.59,,1036,-232,16,,
191.23,,1144,-52,-140,,
191.87,,952,-92,-12,,
192.51,,972,128,-36,,
193.15,,1040,28,-56,,
193.79,,1092,-44,32,,
194.43,,1040,-24,-40,,
195.07,,1024,-64,-44,,
195.72,,1024,-48,-8,,
196.36,,1016,-24,20,,
197.00,,1028,24,-8,,
197.64,,1072,56,-36,,
198.28,,1036,-12,-36,,
198.92,,1040,-40,20,,
199.56,,1036,16,56,,
200.20,,1028,-16,28,,
200.84,,1024,-56,12,,
201.48,,1044,-28,28,,
202.12,,1008,-40,40,,
202.76,,1036,-64,8,,
203.40,,1044,-56,0,,
204.04,,1020,4,32,,
204.68,,1028,-24,44,,
205.32,,1016,-40,4,,
205.96,,1012,-60,40,,
206.60,,1040,76,112,,
207.24,,1080,-44,-4,,
207.88,,996,252,72,,
208.52,,1000,4,44,,
209.16,,1016,176,40,,
209.80,,1016,236,76,,
210.44,,1028,56,12,,
211.08,,1016,-164,8,,
211.72,,1076,-20,-104,,
212.36,,976,116,-100,,
213.00,,1052,-176,-68,,
213.64,,1000,-156,-36,,
214.28,,1024,60,-24,,
214.92,,1024,148,-8,,
215.56,,1052,44,-100,,
216.20,,1004,-100,-84,,
216.84,,1136,24,0,,
217.48,,1068,184,-72,,
218.12,,1204,-68,-80,,
218.76,,992,-188,-100,,
219.40,,1032,-12,-112,,
220.04,,1116,124,-36,,
220.68,,1052,108,-28,,
221.32,,1044,0,-92,,
221.96,,1028,180,-60,,
222.60,,1008,92,-112,,
223.24,,1036,128,-84,,
223.88,,1032,-28,-56,,
224.52,,1008,44,-60,,
225.16,,1040,88,-32,,
225.80,,1012,60,-172,,
226.44,,1012,-4,-164,,
227.08,,1028,108,-100,,
227.72,,1028,108,-80,,
228.36,,1032,116,-92,,
229.00,,984,-128,-112,,
229.64,,1040,124,-108,,
230.28,,1016,160,-40,,
230.93,,1028,-64,-240,,
231.57,,980,-120,-108,,
232.21,,252,88,44,,
232.85,,1020,-36,-332,,
233.49,,972,68,-156,,
234.13,,744,40,-384,,
234.77,,660,-32,-884,,
235.41,,160,24,-992,,
236.05,,276,92,-1084,,
236.69,,-336,180,-880,,
237.33,,-236,-20,-1024,,
237.97,,44,-136,-1304,,
238.61,,28,-124,-1000,,
239.25,,-40,-172,-712,,
239.89,,1000,-204,-748,,
240.53,,640,-100,-996,,
241.17,,132,0,-1624,,
241.81,,460,-216,-1276,,
242.45,,-336,144,-1136,,
243.09,,180,56,-888,,
243.73,,-316,-112,-900,,
244.37,,28,184,-696,,
245.01,,-324,312,-804,,
245.65,,284,568,-616,,
246.29,,56,-172,-824,,
246.93,,704,-284,-1092,,
247.57,,444,204,-1148,,
248.21,,-288,-176,-1696,,
248.85,,512,-88,-1060,,
249.49,,-380,56,-832,,
250.13,,312,-4,-1016,,
250.77,,-52,0,-1080,,
251.41,,276,-308,-1032,,
252.05,,772,-184,-276,,
252.69,,636,956,316,,
253.33,,-1132,912,-1240,,
253.97,,-260,168,-1000,,
254.61,,-100,-428,-964,,
255.25,,312,-344,-856,,
255.89,,456,140,-1552,,
256.53,,20,44,-1084,,
257.17,,-68,4,-632,,
257.81,,-364,12,-912,,
258.45,,408,232,-556,,
259.09,,396,-236,-584,,
259.73,,936,216,-1656,,
260.37,,500,-24,-1336,,
261.01,,16,-176,-1028,,
261.65,,248,-108,-908,,
262.29,,-240,-28,-1060,,
262.93,,412,88,-896,,
263.57,,-456,184,-744,,
264.21,,588,20,-468,,
264.85,,448,-132,-912,,
265.49,,188,148,-1564,,
266.14,,492,-180,-1172,,
266.78,,-180,-56,-1060,,
267.42,,-12,-100,-1068,,
268.06,,232,-44,-1012,,
268.70,,316,-84,-956,,
269.34,,428,-280,-876,,
269.98,,640,-548,-532,,
270.62,,816,-620,-168,,
271.26,,976,-372,8,,
271.90,,1016,-72,-56,,
