Time (seconds),strength,x,y,z,pitch,roll
Time (seconds),strength,x,y,z,pitch,roll,mx,my,mz
148.78,,-1036,0,-28,,,61.05,-83.55,-125.55
148.84,,-1012,36,-48,,,60.9,-84,-126.15
148.88,,-1044,4,-28,,,60,-83.85,-126.6
148.92,,-1016,36,-60,,,60,-84.15,-126.3
148.95,,-1028,40,-40,,,60.75,-83.55,-126.75
149.02,,-1056,40,-48,,,60.9,-83.85,-125.4
149.06,,-1092,36,-68,,,59.7,-84,-126.15
149.10,,-960,4,-36,,,60.6,-83.85,-125.25
149.13,,-1000,16,-56,,,60.15,-84.15,-125.7
149.17,,-1044,-24,-68,,,59.85,-84.6,-125.1
149.20,,-980,48,-92,,,58.95,-84.15,-125.55
149.28,,-1028,56,-76,,,58.65,-86.1,-127.95
149.31,,-1044,44,-40,,,60.6,-86.4,-128.7
149.35,,-1012,72,-60,,,59.7,-86.55,-129
149.38,,-1024,48,-72,,,59.7,-86.85,-129.45
149.42,,-1024,44,-68,,,60.15,-87.15,-130.5
149.46,,-1020,60,-76,,,60.45,-86.25,-130.5
149.53,,-1064,40,-88,,,60.3,-87.15,-130.95
149.57,,-984,80,-68,,,59.4,-87.3,-130.95
149.60,,-1052,128,-84,,,60.15,-86.85,-130.2
149.64,,-992,-64,-20,,,60,-87.15,-129.15
149.68,,-1024,-36,-64,,,59.25,-86.4,-128.4
149.71,,-1032,160,-68,,,59.55,-86.85,-128.25
149.78,,-1044,40,-96,,,59.85,-84.6,-125.85
149.82,,-1080,-32,-124,,,60.45,-83.85,-124.2
149.86,,-1020,-68,-72,,,59.85,-82.95,-122.85
149.89,,-1056,-76,-80,,,59.85,-82.5,-121.65
149.93,,-996,-100,-60,,,60,-82.05,-120
149.96,,-1020,-20,-88,,,59.85,-81.75,-118.35
150.04,,-1012,-64,-92,,,59.55,-81.45,-117.3
150.07,,-940,-104,-136,,,58.95,-80.7,-116.4
150.11,,-1000,-28,-140,,,59.25,-81.15,-116.85
150.15,,-984,28,-192,,,58.5,-81.45,-116.4
150.18,,-976,28,-192,,,58.5,-81.9,-116.55
150.26,,-832,-104,-140,,,57.9,-81.6,-114.9
150.29,,-924,-36,-140,,,57.45,-81.3,-114.6
150.33,,-988,-40,-188,,,57.75,-81.9,-114.45
150.36,,-932,8,-256,,,57.6,-81.3,-114.75
150.40,,-940,-80,-212,,,57.3,-81.75,-115.5
150.44,,-892,124,-188,,,57.45,-82.05,-114.9
150.51,,-932,120,-100,,,57.3,-82.2,-115.5
150.54,,-1040,64,-128,,,57.3,-82.2,-115.35
150.58,,-972,16,-108,,,56.85,-81.15,-114.75
150.62,,-996,56,0,,,56.85,-82.05,-115.65
150.65,,-1008,192,-8,,,58.5,-82.95,-116.85
150.69,,-1020,208,48,,,57.6,-81.75,-117.75
150.76,,-1056,4,188,,,58.5,-83.25,-119.7
150.80,,-1144,48,240,,,58.05,-83.4,-120.15
150.84,,-996,4,208,,,58.2,-83.55,-123.45
150.87,,-788,188,80,,,59.55,-84.9,-126.15
150.91,,-244,396,-40,,,58.95,-85.35,-126.3
150.94,,44,-80,-56,,,58.5,-85.05,-127.95
150.98,,-296,36,-156,,,58.8,-84.6,-130.65
151.05,,-128,-84,-196,,,58.8,-84.6,-133.2
151.09,,-420,-44,-32,,,59.1,-84,-135
151.12,,-544,-20,-208,,,57.75,-83.55,-136.65
151.16,,-524,-88,-256,,,59.55,-83.25,-137.7
151.20,,-620,-100,248,,,59.25,-83.25,-139.2
151.23,,-1308,244,-136,,,59.7,-82.35,-140.85
151.30,,-1304,136,-196,,,60.3,-80.7,-140.85
151.34,,-1156,368,-424,,,59.1,-80.25,-142.05
151.38,,-928,404,-648,,,59.4,-79.95,-140.4
151.42,,-2040,-888,360,,,59.1,-80.1,-140.25
151.45,,-2040,80,-276,,,57.9,-80.85,-142.65
151.52,,-1392,168,-216,,,57.6,-78.6,-140.55
151.56,,-804,168,-132,,,58.95,-79.2,-141.9
151.60,,-2040,24,-184,,,58.2,-78.6,-141.9
151.63,,-1320,-152,188,,,57.75,-79.05,-142.5
151.67,,-1160,32,92,,,59.4,-78,-142.5
151.71,,-1284,-72,-320,,,58.65,-78.3,-143.25
151.78,,-716,-20,-300,,,58.2,-78,-143.25
151.81,,-1656,88,-352,,,58.95,-78.75,-144.3
151.85,,-1136,268,-52,,,58.65,-78.9,-144.3
151.88,,-1328,304,-28,,,59.1,-78,-144.6
151.92,,-1016,164,0,,,59.85,-76.05,-144.75
151.96,,-1596,320,20,,,58.65,-77.25,-146.1
152.03,,-1272,120,48,,,58.65,-79.05,-147.15
152.07,,-1204,364,304,,,58.2,-79.05,-149.1
152.10,,-1224,268,176,,,58.2,-81,-151.5
152.14,,-1132,200,148,,,57.75,-83.25,-153.45
152.18,,-1124,188,184,,,56.1,-84.6,-155.7
152.21,,-1028,212,276,,,54.9,-86.1,-157.95
152.29,,-1080,340,276,,,53.55,-88.95,-160.35
152.32,,-1004,472,280,,,52.5,-88.8,-162.15
152.36,,-1072,444,352,,,50.85,-90.75,-164.25
152.39,,-1068,488,424,,,50.25,-90.75,-165.15
152.43,,-1104,480,432,,,48.45,-92.25,-168.15
152.46,,-1084,536,484,,,46.35,-93,-169.65
152.54,,-1224,560,608,,,43.8,-92.55,-172.2
152.57,,-1180,616,632,,,43.2,-92.25,-172.35
152.61,,-1200,608,616,,,42.6,-92.85,-172.95
152.64,,-1180,588,636,,,39.3,-91.8,-174
152.68,,-1216,668,656,,,38.1,-91.2,-174.6
152.72,,-1048,552,672,,,35.85,-92.1,-174.3
152.90,,-524,364,496,,,30.9,-90.9,-173.25
152.93,,-552,492,548,,,30.75,-91.05,-172.8
152.97,,-576,480,632,,,30.75,-90.15,-172.65
153.00,,-600,372,476,,,30.15,-89.25,-171.9
153.04,,-524,396,816,,,28.8,-88.65,-172.5
153.08,,-440,396,844,,,28.5,-87.9,-171.9
153.15,,-548,492,756,,,28.5,-84,-171.3
153.18,,-536,672,724,,,26.85,-81.15,-170.55
153.22,,-460,480,804,,,26.85,-81.15,-170.4
153.26,,-332,272,792,,,25.05,-80.25,-170.1
153.29,,-400,460,804,,,23.7,-77.85,-169.65
153.33,,-388,304,896,,,23.4,-76.8,-169.5
153.40,,-436,252,884,,,21.9,-77.1,-167.85
153.44,,-320,292,800,,,20.85,-77.25,-168.75
153.48,,-304,72,848,,,20.7,-77.85,-168
153.51,,-264,76,844,,,20.1,-77.1,-168
153.55,,-216,148,864,,,20.25,-75.9,-166.95
153.58,,-164,4,936,,,20.25,-73.2,-166.5
153.66,,-124,-136,992,,,19.2,-67.65,-164.7
153.69,,-136,-176,1036,,,20.25,-65.7,-161.7
153.73,,-140,-152,996,,,19.5,-61.5,-160.35
153.76,,-72,-172,996,,,19.95,-59.1,-158.25
153.80,,-192,-124,968,,,18.75,-55.35,-155.55
153.84,,-88,-268,876,,,19.35,-52.95,-153.6
153.91,,-164,-484,832,,,17.7,-47.4,-149.7
153.94,,-116,-492,876,,,18.15,-42.9,-145.5
153.98,,-180,-516,884,,,17.85,-39.75,-142.5
154.02,,-212,-604,648,,,18.45,-36.75,-139.5
154.05,,-412,-704,548,,,18,-33.45,-136.05
154.09,,-436,-560,604,,,18.45,-31.35,-133.65
154.16,,-88,-480,628,,,18.3,-28.8,-128.25
154.20,,40,-428,356,,,17.55,-26.4,-127.5
154.24,,-8,-704,488,,,18.3,-27.3,-127.65
154.27,,-104,-772,560,,,18.15,-27.45,-128.1
154.31,,-92,-708,520,,,17.85,-27.45,-128.7
154.34,,-176,-728,488,,,16.8,-27.45,-129.6
154.42,,-196,-564,484,,,16.2,-30.3,-131.7
154.45,,-372,-516,504,,,15.75,-33.75,-136.2
154.49,,-488,-408,664,,,15.6,-33.6,-137.25
154.52,,-200,-676,872,,,14.55,-39.15,-141.45
154.56,,-360,-452,672,,,14.4,-42.45,-144.15
154.60,,-116,-376,904,,,13.2,-44.7,-145.8
154.67,,-164,-584,892,,,12.75,-47.7,-147.9
154.71,,-144,-328,996,,,12.9,-49.35,-149.85
154.74,,-216,120,944,,,13.2,-51.6,-152.85
154.78,,-220,-64,940,,,13.5,-53.25,-153.9
154.82,,-212,-108,948,,,14.55,-57.15,-156.45
154.85,,96,224,804,,,14.1,-60.45,-158.7
154.92,,-244,-208,1100,,,12.9,-65.7,-162.6
154.96,,-192,72,868,,,12.9,-68.25,-164.55
155.00,,-136,380,924,,,12.9,-69.6,-165.9
155.03,,-136,548,1216,,,13.2,-72.3,-165.9
155.07,,-360,552,800,,,14.1,-75.6,-167.85
155.10,,16,260,1260,,,13.65,-79.8,-169.05
155.18,,-236,440,948,,,14.4,-87.3,-170.55
155.21,,-40,512,852,,,15.3,-90,-171.15
155.25,,-80,864,940,,,13.65,-91.2,-170.85
155.28,,-44,744,884,,,14.4,-92.7,-170.7
155.32,,-128,832,748,,,14.1,-95.25,-169.35
155.36,,-220,880,1008,,,13.65,-95.7,-168.3
155.43,,-476,696,620,,,12.75,-95.4,-169.05
155.47,,-388,368,892,,,13.95,-94.8,-169.95
155.50,,-144,432,684,,,13.05,-91.5,-169.95
155.54,,-240,548,664,,,13.35,-88.5,-171.15
155.58,,-272,764,932,,,12.45,-87.6,-170.25
155.61,,-276,380,1052,,,12.15,-87.15,-170.1
155.68,,-184,400,976,,,12.45,-85.65,-170.7
155.72,,-172,508,1036,,,12,-83.85,-169.8
155.76,,-204,308,936,,,11.7,-82.05,-170.25
155.79,,-20,180,896,,,12.15,-80.55,-168.75
155.83,,-8,196,896,,,12.6,-76.8,-169.35
155.86,,116,184,800,,,10.8,-75.45,-168.15
155.92,,-56,-40,908,,,10.8,-70.05,-165
155.96,,-60,-200,1072,,,9,-64.2,-160.65
156.00,,12,-92,996,,,9.45,-60.15,-157.95
156.04,,-4,-284,820,,,9.45,-54.75,-155.4
156.08,,-196,-492,1020,,,10.2,-52.2,-152.7
156.11,,-260,-316,892,,,10.65,-48.75,-149.55
156.15,,-232,-256,852,,,11.4,-43.2,-145.95
156.22,,84,-612,964,,,13.65,-34.8,-138.3
156.26,,-4,-528,776,,,13.35,-30.9,-133.95
156.29,,-44,-704,708,,,15,-28.95,-130.65
156.33,,-156,-772,668,,,15.15,-27.3,-128.25
156.36,,-128,-720,612,,,14.25,-26.1,-127.2
156.40,,-176,-772,672,,,14.7,-24.9,-126.15
156.47,,-232,-500,352,,,14.4,-28.35,-129.45
156.51,,-216,-604,820,,,13.8,-31.05,-132.9
156.55,,-264,-704,956,,,14.25,-34.05,-137.25
156.58,,-312,-556,752,,,15,-34.5,-139.05
156.62,,-212,-532,872,,,14.7,-35.7,-141.3
156.66,,-208,-604,988,,,12.45,-38.55,-143.1
156.73,,-64,-216,800,,,11.7,-41.55,-145.65
156.76,,-220,-236,1160,,,13.35,-44.25,-147.45
156.80,,-268,-88,804,,,14.25,-45.45,-150.15
156.84,,-248,36,876,,,14.4,-49.35,-154.2
156.87,,-56,-104,868,,,14.55,-52.65,-156.3
156.91,,12,-76,812,,,14.25,-54.6,-157.65
157.10,,-212,496,1008,,,13.65,-73.35,-168
157.13,,-108,516,1200,,,14.1,-78.9,-170.55
157.17,,-128,472,728,,,14.25,-83.55,-172.05
157.20,,-112,224,1048,,,14.7,-85.65,-172.65
157.24,,-156,468,1012,,,14.7,-89.7,-173.4
157.28,,-104,688,900,,,15.6,-91.05,-173.85
157.35,,-160,748,932,,,15.15,-94.05,-173.1
157.39,,-72,772,824,,,15.15,-96.3,-172.5
157.42,,-244,872,848,,,14.85,-96.6,-172.05
157.46,,-216,520,768,,,14.25,-97.65,-171.3
157.50,,-488,400,476,,,13.2,-96.75,-172.95
157.53,,-416,640,936,,,14.4,-94.2,-172.95
157.60,,-196,596,920,,,13.5,-90.15,-173.7
157.64,,-304,540,916,,,13.35,-87.75,-173.85
157.68,,-112,312,1036,,,12.3,-85.95,-172.95
157.71,,-188,280,944,,,12.45,-84.9,-171.9
157.75,,-256,392,1016,,,13.5,-83.1,-171.9
157.78,,-240,360,1052,,,14.25,-81.3,-172.5
157.86,,76,32,688,,,15.75,-77.1,-171.3
157.89,,64,40,756,,,15.15,-74.25,-170.1
157.93,,-44,156,836,,,13.8,-67.35,-166.35
157.96,,-136,-228,980,,,12.75,-62.85,-163.95
158.00,,-8,-324,1016,,,13.35,-58.65,-161.25
158.04,,-40,-372,832,,,13.2,-54.15,-157.35
158.11,,-344,-424,844,,,15,-41.4,-148.35
158.15,,-252,-376,800,,,15.15,-38.85,-146.1
158.18,,-120,-760,932,,,16.05,-35.7,-142.05
158.22,,36,-676,788,,,16.65,-31.2,-137.7
158.26,,-92,-520,800,,,16.5,-27.45,-133.95
158.29,,-72,-612,744,,,18,-25.2,-129.9
158.37,,-232,-792,688,,,18.15,-22.5,-126.6
158.40,,-188,-804,692,,,17.85,-22.2,-126.75
158.44,,-220,-648,488,,,17.7,-23.55,-127.8
158.47,,-308,-520,620,,,17.4,-25.8,-130.65
158.51,,-304,-696,944,,,17.55,-28.05,-134.85
158.54,,-272,-596,676,,,17.55,-31.65,-139.35
158.62,,-264,-536,872,,,15.75,-35.85,-142.95
158.65,,-284,-564,1004,,,15.6,-36.9,-143.4
158.69,,-124,-376,896,,,16.2,-38.25,-146.1
