Time (seconds),strength,x,y,z,pitch,roll
Time (seconds),strength,x,y,z,pitch,roll,mx,my,mz
247.91,,-1008,204,96,,,54.9,-94.65,-138.3
247.97,,-1000,232,84,,,56.4,-94.95,-138.45
248.01,,-980,260,100,,,55.95,-95.4,-138.45
248.04,,-1000,240,88,,,55.35,-95.55,-139.2
248.12,,-996,252,88,,,54.45,-94.8,-138.45
248.15,,-1000,236,76,,,55.35,-94.8,-137.85
248.19,,-1004,252,80,,,54.75,-94.65,-138.15
248.22,,-996,252,88,,,53.55,-93.9,-137.55
248.26,,-1008,256,72,,,55.35,-94.35,-137.4
248.30,,-1004,248,76,,,55.65,-95.55,-138.3
248.37,,-976,248,92,,,55.05,-94.5,-136.5
248.40,,-1012,252,68,,,55.95,-94.65,-136.65
248.44,,-992,228,92,,,55.2,-94.35,-137.1
248.48,,-1016,244,72,,,55.5,-93.75,-134.85
248.51,,-1008,212,64,,,55.05,-93.15,-135.3
248.55,,-1024,256,48,,,54.9,-93.6,-134.25
248.62,,-1008,260,48,,,55.65,-93.15,-133.8
248.66,,-960,248,-4,,,56.4,-92.7,-132.6
248.70,,-968,256,48,,,56.4,-93.3,-131.7
248.73,,-1012,192,52,,,55.35,-92.4,-132
248.77,,-1048,184,40,,,55.8,-92.4,-130.05
248.80,,-1020,200,76,,,55.8,-91.95,-128.85
248.84,,-1020,132,96,,,55.2,-91.2,-128.7
248.91,,-1000,124,36,,,55.35,-90.9,-128.1
248.95,,-972,84,40,,,54.75,-91.2,-127.8
248.98,,-936,124,52,,,56.55,-91.5,-127.35
249.02,,-1012,224,-36,,,55.05,-91.5,-128.4
249.06,,-1008,328,-80,,,55.35,-93,-127.8
249.09,,-960,276,-36,,,54.6,-92.4,-128.1
249.16,,-960,152,-20,,,53.55,-94.2,-129.15
249.20,,-1016,264,-60,,,53.25,-91.5,-128.4
249.24,,-964,256,-20,,,53.4,-92.85,-128.1
249.28,,-948,320,-48,,,53.85,-93.6,-129.45
249.31,,-968,300,-32,,,53.85,-94.05,-129.3
249.35,,-964,276,-24,,,54.15,-93.15,-129.15
249.42,,-1052,292,36,,,53.85,-94.35,-129.3
249.46,,-984,324,40,,,53.7,-94.35,-129.9
249.49,,-968,380,20,,,53.85,-94.2,-129.9
249.53,,-944,340,36,,,53.55,-93.6,-130.65
249.56,,-920,316,20,,,53.85,-93.75,-130.65
249.60,,-908,364,44,,,53.55,-95.25,-130.8
249.67,,-876,324,24,,,54,-93.3,-130.2
249.71,,-920,352,60,,,53.55,-93.75,-129.15
249.75,,-892,324,108,,,53.85,-93.45,-128.7
249.78,,-928,348,196,,,52.95,-94.05,-129
249.82,,-908,352,116,,,53.25,-93.6,-129.6
249.85,,-856,344,256,,,53.25,-93.3,-129.9
249.93,,-888,436,356,,,53.55,-93.75,-130.2
249.96,,-924,440,412,,,53.25,-93.45,-131.1
250.00,,-896,444,416,,,53.1,-94.65,-132.3
250.04,,-776,352,156,,,53.1,-94.95,-132.45
250.07,,-384,216,-196,,,52.05,-95.1,-133.2
250.11,,36,-144,-128,,,50.85,-96.3,-133.95
250.18,,-184,12,-24,,,50.25,-96.9,-134.85
250.22,,-232,112,-64,,,50.7,-96.3,-134.55
250.25,,-372,192,-48,,,50.25,-96,-135.6
250.29,,-432,100,-244,,,51,-96.45,-136.35
250.33,,-456,16,-276,,,51.15,-95.7,-135.9
250.36,,-508,72,16,,,50.55,-95.85,-136.2
250.43,,-780,112,12,,,51,-94.95,-137.55
250.47,,-988,504,-224,,,51.75,-93,-135.9
250.51,,-1488,1564,-1084,,,52.2,-92.55,-133.5
250.54,,-244,-76,-200,,,52.2,-91.65,-132
250.58,,-1904,-540,-572,,,52.95,-90.75,-129.6
250.62,,-492,548,380,,,52.35,-90.15,-129.6
250.69,,-1756,400,-200,,,52.05,-88.5,-129.15
250.72,,-1780,440,-84,,,52.35,-87.75,-127.95
250.76,,-1292,308,-280,,,52.2,-88.05,-127.05
250.80,,-1420,500,24,,,52.35,-87.3,-126.9
250.83,,-1236,324,-288,,,52.8,-86.85,-125.4
250.87,,-1352,296,-144,,,53.1,-85.95,-124.2
250.94,,-1296,336,196,,,54.45,-85.2,-124.65
250.98,,-1048,192,-372,,,54.6,-85.35,-123.45
251.01,,-1256,368,-268,,,54.75,-85.05,-122.7
251.05,,-1268,244,-144,,,55.8,-84.75,-122.85
251.08,,-1252,336,-128,,,55.5,-85.05,-122.1
251.12,,-1228,356,-80,,,55.05,-84.6,-121.8
251.20,,-1244,376,-136,,,55.8,-84.3,-120.45
251.23,,-1204,368,-140,,,55.95,-84.15,-120.3
251.27,,-1176,444,-36,,,55.05,-83.7,-119.25
251.30,,-1264,288,-120,,,55.8,-83.7,-118.8
251.34,,-1232,304,-12,,,55.8,-82.8,-117.15
251.38,,-1280,316,-100,,,54.75,-83.55,-115.2
251.45,,-1116,368,-200,,,54,-84.3,-113.55
251.49,,-1048,492,-220,,,53.7,-84.15,-114.15
251.52,,-1000,428,-204,,,52.35,-84.3,-112.65
251.56,,-1044,440,-308,,,52.65,-84.6,-112.35
251.59,,-1064,360,-316,,,52.5,-83.4,-110.25
251.66,,-1184,488,-432,,,50.85,-82.8,-108.15
251.70,,-1152,408,-356,,,51.3,-81.15,-106.35
251.74,,-1220,404,-400,,,49.5,-81,-105.3
251.77,,-1216,396,-384,,,50.1,-79.95,-104.1
251.81,,-1204,484,-432,,,48.6,-78.6,-102
251.85,,-1376,464,-328,,,48,-77.1,-100.05
252.02,,-912,-400,-264,,,44.1,-71.1,-93.6
