Time (seconds),strength,x,y,z,pitch,roll
Time (seconds),strength,x,y,z,pitch,roll,mx,my,mz
151.26,,-1016,-56,-72,,,62.85,-79.05,-117
151.32,,-1016,-36,-76,,,62.25,-79.2,-116.85
151.36,,-1024,-68,-72,,,61.5,-78.3,-115.95
151.40,,-1032,-44,-84,,,62.4,-78.9,-115.95
151.47,,-1016,-44,-72,,,61.8,-79.05,-115.95
151.50,,-1024,-64,-76,,,62.55,-78.75,-116.85
151.54,,-1012,-48,-80,,,61.65,-78.9,-116.25
151.58,,-1024,-64,-84,,,61.8,-78.6,-115.5
151.61,,-992,-52,-76,,,62.1,-78.75,-115.5
151.65,,-1036,-76,-96,,,62.4,-78.15,-115.95
151.72,,-1024,-64,-76,,,61.5,-78.6,-115.5
151.76,,-1032,-40,-84,,,62.4,-78.45,-115.95
151.80,,-1020,-60,-84,,,62.4,-77.7,-114.75
151.83,,-1016,-56,-84,,,61.95,-78.6,-115.35
151.87,,-1032,-48,-88,,,61.8,-77.55,-114.75
151.91,,-1024,-44,-68,,,61.65,-78.75,-115.35
151.98,,-1020,-64,-72,,,62.55,-78,-114.6
152.01,,-1020,-40,-84,,,62.25,-78.3,-114.9
152.05,,-1012,-60,-76,,,61.2,-78.15,-113.4
152.08,,-1028,-68,-104,,,61.5,-78.15,-114.15
152.12,,-1032,-64,-76,,,61.8,-77.4,-114.15
152.16,,-1008,-56,-92,,,62.55,-77.25,-113.7
152.23,,-1028,-60,-104,,,62.25,-77.85,-112.95
152.26,,-1024,-72,-104,,,62.25,-77.7,-113.55
152.30,,-1016,-72,-100,,,61.5,-77.1,-112.8
152.34,,-1028,-52,-132,,,62.4,-76.8,-112.2
152.38,,-1008,-48,-100,,,62.25,-77.4,-112.05
152.41,,-1036,-80,-132,,,61.95,-76.35,-111.45
152.48,,-1020,-68,-136,,,61.95,-76.05,-110.1
152.52,,-1024,-80,-136,,,61.35,-75.9,-110.7
152.56,,-1020,-92,-144,,,61.8,-75.45,-109.05
152.59,,-1008,-104,-148,,,62.25,-73.5,-107.4
152.63,,-996,-88,-144,,,61.95,-74.1,-107.4
152.66,,-1028,-68,-148,,,61.95,-73.5,-106.05
152.74,,-1028,-96,-172,,,61.05,-72.75,-104.4
152.77,,-1012,-108,-148,,,60.9,-72.3,-103.35
152.81,,-1000,-132,-152,,,61.2,-72.6,-102.75
152.84,,-1000,-112,-136,,,60.75,-70.95,-101.25
152.88,,-980,-152,-152,,,59.85,-71.25,-101.1
152.96,,-976,-140,-196,,,59.85,-70.65,-98.4
152.99,,-988,-148,-212,,,58.95,-70.2,-98.7
153.03,,-968,-136,-220,,,58.5,-70.65,-97.8
153.06,,-932,-136,-232,,,58.95,-70.65,-97.35
153.10,,-1028,-148,-236,,,58.95,-70.35,-97.5
153.14,,-1016,-76,-264,,,58.35,-70.65,-96.3
153.21,,-984,-92,-232,,,57.6,-69.9,-95.4
153.24,,-960,-52,-232,,,58.35,-70.8,-94.5
153.28,,-952,-112,-244,,,57.3,-70.5,-94.95
153.32,,-932,-64,-268,,,57.9,-70.35,-93.9
153.35,,-912,-44,-276,,,57,-69.75,-94.05
153.39,,-912,-64,-284,,,56.55,-68.85,-93.15
153.46,,-972,-80,-284,,,55.8,-68.4,-91.8
153.50,,-972,-76,-300,,,56.25,-67.8,-91.65
153.53,,-956,-88,-304,,,57.3,-69,-91.05
153.57,,-948,-84,-288,,,57,-67.8,-91.05
153.61,,-1044,172,-188,,,56.1,-68.7,-91.2
153.64,,-920,-32,-348,,,56.7,-69,-91.5
153.72,,-1008,-4,-272,,,57.15,-68.1,-91.5
