Time (seconds),strength,x,y,z,pitch,roll
Time (seconds),strength,x,y,z,pitch,roll,mx,my,mz
295.48,,-1040,-124,32,,,65.55,-89.7,-103.95
295.54,,-992,-84,-4,,,64.8,-88.95,-103.35
295.58,,-1028,-64,24,,,65.1,-89.7,-103.35
295.62,,-1016,-128,4,,,66,-90.45,-103.2
295.69,,-1036,-116,0,,,65.4,-88.5,-102.45
295.72,,-984,-200,-20,,,66,-88.5,-101.7
295.76,,-1048,-140,-24,,,65.25,-88.65,-100.95
295.80,,-1060,-152,-4,,,64.95,-87.45,-100.2
295.83,,-976,-212,-16,,,65.7,-87.75,-100.65
295.87,,-964,-188,-24,,,64.05,-87.45,-99.3
295.94,,-984,-176,-28,,,64.65,-87.15,-99.9
295.98,,-936,-180,16,,,65.1,-89.1,-100.2
296.01,,-940,-184,40,,,64.8,-89.4,-101.25
296.05,,-1092,-56,-12,,,64.8,-89.85,-101.85
296.09,,-1132,-80,-20,,,63.9,-91.95,-103.8
296.12,,-1152,60,16,,,64.8,-92.1,-104.1
296.20,,-932,-124,68,,,65.4,-91.95,-104.1
296.23,,-984,-76,32,,,64.65,-92.4,-103.65
296.27,,-1056,-16,-28,,,64.65,-92.1,-103.05
296.30,,-1016,-28,0,,,63.75,-92.1,-103.65
296.34,,-996,-28,-28,,,64.05,-92.7,-102.45
296.38,,-1004,-44,20,,,63.75,-92.1,-103.05
296.45,,-1024,-4,4,,,63.45,-92.1,-102.3
296.48,,-1012,-24,8,,,64.35,-92.1,-102.3
296.52,,-1016,-24,-8,,,64.2,-91.5,-101.85
296.56,,-1016,-48,28,,,64.2,-92.1,-102.45
296.59,,-1008,-32,44,,,64.5,-91.8,-102.75
296.63,,-1032,-24,28,,,63.45,-91.5,-101.4
296.67,,-1016,-48,28,,,64.5,-91.05,-101.1
296.74,,-1012,-76,32,,,64.35,-92.4,-100.65
296.78,,-1000,-44,44,,,64.35,-91.5,-101.7
296.81,,-1016,-44,60,,,64.05,-91.95,-101.25
296.85,,-1016,-88,68,,,64.05,-90.75,-102
296.88,,-1016,-56,68,,,64.8,-91.65,-102
296.92,,-1004,-84,52,,,64.8,-91.2,-102.3
296.99,,-984,-4,72,,,63.9,-91.2,-102
297.03,,-968,44,100,,,63.3,-91.65,-103.35
297.06,,-1024,28,160,,,64.2,-91.65,-103.2
297.10,,-1052,-32,132,,,63.9,-91.65,-103.35
297.14,,-1016,16,160,,,63.9,-92.85,-102.75
297.17,,-1004,32,180,,,63,-93.3,-102.15
297.25,,-956,28,140,,,64.35,-92.7,-102.45
297.28,,-960,76,140,,,63.6,-91.5,-102.6
297.32,,-904,52,144,,,63.75,-91.2,-102.6
297.36,,-956,24,120,,,64.2,-91.2,-102
297.39,,-936,76,144,,,63.15,-91.2,-102.15
297.43,,-968,88,220,,,64.35,-92.1,-101.1
297.50,,-928,80,252,,,62.85,-90.3,-101.4
297.54,,-944,60,364,,,63.15,-91.5,-101.1
297.57,,-1044,144,468,,,63.15,-91.35,-100.5
297.61,,-1048,256,456,,,62.85,-92.1,-100.65
297.64,,-992,236,316,,,62.4,-91.05,-98.85
297.68,,-704,156,-228,,,62.55,-91.35,-98.55
297.75,,128,-396,220,,,60.45,-91.8,-97.65
297.79,,12,-204,-52,,,59.85,-91.8,-97.8
297.82,,-424,148,24,,,60.45,-91.05,-97.35
297.86,,-296,144,-40,,,60.6,-89.7,-96.75
297.90,,-156,-116,0,,,59.7,-89.85,-96.6
297.93,,-480,60,-48,,,61.2,-89.55,-95.85
298.01,,-540,-212,180,,,60,-88.35,-96
298.04,,-900,-84,24,,,60.9,-88.05,-97.5
298.08,,-780,-236,84,,,60.6,-86.4,-97.35
298.12,,-1008,-232,-88,,,60.9,-85.95,-97.5
298.15,,-968,-288,-440,,,62.55,-84.6,-96.75
298.19,,-1004,-744,-256,,,60.6,-84.9,-97.05
298.22,,-1304,-288,-112,,,59.85,-83.1,-95.55
298.30,,-1348,-832,-580,,,60.75,-79.5,-91.2
298.33,,-1344,-136,-168,,,59.7,-78.9,-89.55
298.37,,-1748,4,-120,,,60.3,-78,-88.8
298.40,,-1480,-4,-440,,,60.15,-75.45,-88.95
298.44,,-1392,20,-252,,,61.2,-74.25,-89.1
298.48,,-1220,-388,-68,,,60.75,-73.5,-87.15
298.55,,-1736,-212,-104,,,60.45,-69.9,-86.25
298.58,,-772,24,-84,,,60.9,-69,-84.9
298.62,,-1056,-132,-180,,,60.75,-67.5,-83.4
298.66,,-1632,-240,-148,,,60.6,-65.4,-83.4
298.70,,-1360,-212,104,,,62.1,-65.4,-82.5
298.73,,-1476,-288,68,,,61.05,-63.9,-80.7
298.80,,-1304,-312,28,,,60.75,-62.85,-79.2
298.84,,-1328,-360,-16,,,60,-63.45,-78.75
298.88,,-1324,-172,168,,,60.15,-62.55,-78.15
298.91,,-1536,-236,96,,,59.85,-62.4,-76.95
298.95,,-1604,-316,56,,,59.4,-61.05,-74.85
298.99,,-1588,-384,132,,,59.25,-60.3,-73.35
299.06,,-1680,-312,180,,,58.05,-58.35,-72.15
299.09,,-2004,-416,172,,,56.1,-57.45,-68.85
299.13,,-1804,-416,376,,,54.75,-56.1,-67.5
299.16,,-1624,-736,-200,,,54.75,-56.4,-67.8
299.20,,-620,-364,64,,,51.3,-56.4,-64.5
299.27,,-632,-88,-572,,,46.05,-57.45,-61.5
299.31,,-408,-312,-624,,,43.65,-58.2,-60.3
299.35,,-596,-184,-548,,,42.75,-60,-59.85
299.38,,-572,-128,-628,,,41.4,-61.2,-60.15
299.42,,-688,-148,-656,,,40.95,-63.3,-59.85
299.46,,-732,-276,-648,,,39.3,-62.25,-60
299.63,,-548,20,-612,,,34.05,-75.6,-65.4
299.67,,-644,336,-620,,,33.3,-81,-68.25
299.70,,-608,528,-832,,,32.25,-84.45,-71.55
299.74,,-556,460,-972,,,31.2,-87,-72.75
299.78,,-560,452,-760,,,32.25,-88.05,-74.1
299.81,,-588,588,-744,,,31.35,-88.35,-75.45
299.85,,-444,540,-664,,,30.15,-88.05,-73.8
299.92,,-356,392,-592,,,30.75,-85.8,-72.45
299.96,,-452,408,-712,,,30.3,-86.85,-72.9
299.99,,-596,272,-684,,,29.85,-84.3,-70.8
300.03,,-548,496,-728,,,29.25,-84.45,-70.2
300.07,,-336,124,-916,,,28.95,-81.9,-69
300.10,,-204,180,-1008,,,27.6,-79.35,-68.1
300.18,,-628,200,-456,,,28.95,-67.95,-61.35
300.21,,-812,36,-300,,,28.95,-60.15,-57.45
300.25,,-516,-120,-696,,,28.8,-52.35,-55.05
300.28,,-400,-316,-524,,,28.2,-45.75,-53.85
300.32,,-352,-496,-368,,,26.25,-40.05,-55.2
300.39,,-184,-732,-500,,,24.45,-32.85,-55.65
300.43,,-20,-684,-512,,,21.6,-32.25,-55.65
300.46,,-88,-560,-576,,,21.15,-28.65,-57.6
300.50,,-52,-620,-596,,,18.75,-28.35,-59.7
300.54,,40,-632,-468,,,18.15,-27.15,-60.45
300.57,,-60,-896,-712,,,16.2,-27.3,-63.45
300.65,,-4,-1092,-628,,,16.2,-26.25,-66
300.68,,-96,-1320,-476,,,14.25,-25.8,-67.5
300.72,,-24,-1496,-556,,,13.2,-25.95,-68.55
300.76,,-612,-1376,-456,,,13.8,-27.3,-66.9
300.79,,-304,-996,-468,,,12.9,-30.15,-66.15
300.83,,-440,-1052,-352,,,11.7,-32.25,-63.15
300.90,,-36,-372,-776,,,10.2,-40.8,-61.65
300.94,,56,-532,-824,,,10.2,-42.3,-61.2
300.97,,-20,-496,-772,,,10.2,-46.8,-61.8
