Time (seconds),strength,x,y,z,pitch,roll
Time (seconds),strength,x,y,z,pitch,roll,mx,my,mz
377.78,,-1000,-32,-156,,,58.2,-42.6,-109.8
377.84,,-1036,-48,-188,,,57.15,-42.6,-108.9
377.88,,-1028,-60,-180,,,57.9,-42.6,-107.7
377.91,,-1036,-32,-180,,,57.9,-42.9,-108.9
377.99,,-1020,-76,-200,,,57.9,-42.6,-108
378.02,,-1000,-40,-204,,,57,-41.55,-107.55
378.06,,-996,-32,-228,,,58.2,-42,-106.2
378.09,,-1016,-84,-192,,,57.9,-42,-107.25
378.13,,-1008,-40,-220,,,57.9,-42.3,-106.2
378.17,,-1004,-52,-204,,,56.85,-41.55,-105.45
378.24,,-1012,-64,-228,,,58.65,-41.7,-105
378.27,,-996,-56,-236,,,56.85,-40.95,-105
378.31,,-1024,-72,-212,,,57,-41.4,-103.95
378.35,,-1000,-56,-260,,,57.9,-40.65,-104.25
378.39,,-1000,-68,-260,,,56.1,-40.65,-102.6
378.42,,-1004,-40,-256,,,57.45,-40.35,-101.4
378.49,,-996,-36,-272,,,57.15,-39.75,-101.85
378.53,,-964,-64,-268,,,57.45,-39.3,-101.4
378.57,,-964,-76,-276,,,57,-39.3,-100.95
378.60,,-964,-64,-288,,,56.7,-39,-100.05
378.64,,-976,-60,-276,,,56.4,-39.3,-100.2
378.67,,-984,-52,-284,,,56.55,-38.4,-99.9
378.75,,-996,-80,-284,,,57.15,-39.3,-99.3
378.78,,-992,-64,-288,,,57.3,-38.25,-99.15
378.82,,-988,-56,-276,,,57.3,-39.45,-99.6
378.85,,-988,-56,-260,,,57.15,-38.85,-99.15
378.89,,-1004,60,-408,,,57,-39,-99.15
378.93,,-952,-244,-148,,,56.85,-39.45,-99.75
379.00,,-996,-24,-256,,,57,-39.15,-99.45
379.04,,-996,-80,-264,,,56.7,-38.85,-99.6
379.07,,-976,-76,-288,,,57,-38.85,-99.9
379.11,,-984,-68,-288,,,57,-38.4,-100.5
379.15,,-988,-80,-292,,,57.45,-39,-99.3
379.18,,-984,-76,-296,,,56.25,-37.95,-100.35
379.22,,-992,-60,-296,,,57,-39.15,-99.6
379.29,,-964,-64,-280,,,57.75,-38.55,-99.15
379.33,,-992,-68,-276,,,57.15,-38.55,-98.7
379.36,,-984,-80,-316,,,56.55,-39.3,-99
379.40,,-976,-76,-288,,,57,-38.25,-99.75
379.43,,-988,-72,-296,,,55.8,-37.65,-99
379.47,,-984,-56,-312,,,57.6,-38.25,-99
379.54,,-980,-68,-284,,,56.4,-37.2,-98.4
379.58,,-976,-84,-296,,,57,-38.1,-98.4
379.62,,-988,-92,-288,,,56.85,-38.1,-98.25
379.65,,-964,-64,-304,,,56.85,-38.4,-99
379.69,,-972,-84,-280,,,55.8,-38.1,-98.25
379.73,,-964,-88,-292,,,57.75,-38.4,-97.8
379.80,,-980,-88,-288,,,56.25,-37.5,-97.65
379.83,,-976,-84,-296,,,56.4,-37.65,-97.5
379.87,,-976,-116,-268,,,57.6,-36.75,-98.55
379.91,,-964,-40,-368,,,56.55,-37.05,-97.8
379.94,,-952,-236,-192,,,56.25,-36.6,-98.85
379.98,,-952,-188,-220,,,55.95,-37.2,-99.9
380.05,,-1040,-116,-292,,,56.4,-36.45,-99
380.09,,-1020,-192,-252,,,56.25,-37.5,-98.85
380.12,,-1016,-176,-252,,,56.1,-38.25,-100.65
380.16,,-1024,-216,-172,,,56.55,-37.8,-99.75
380.20,,-1004,-272,-144,,,56.85,-37.05,-101.1
380.23,,-988,-260,-128,,,57,-37.5,-102.15
380.31,,-948,-244,-52,,,57.6,-39.75,-101.7
380.34,,-1000,-196,56,,,56.55,-39.75,-102
380.38,,-988,-180,36,,,58.2,-39.9,-102.6
380.41,,-960,-208,-16,,,58.8,-40.65,-103.35
380.45,,-1088,128,-660,,,58.35,-40.8,-103.05
380.49,,-1064,-256,-160,,,58.2,-41.1,-103.8
380.56,,-1068,-100,-596,,,58.5,-43.5,-105.15
380.59,,-1056,-48,-388,,,59.4,-43.8,-106.8
380.63,,-1088,44,-368,,,58.2,-44.25,-106.8
380.67,,-1040,-116,-236,,,58.2,-45.45,-107.25
380.70,,-972,-76,-224,,,59.25,-45.15,-108.6
380.77,,-788,20,-92,,,60.6,-47.55,-109.5
380.81,,-892,96,-116,,,59.55,-48.15,-110.4
380.85,,-752,108,-208,,,60.15,-49.95,-112.05
380.89,,-796,36,-156,,,60.3,-51.3,-111.9
380.92,,-972,-36,76,,,60,-51.15,-112.5
380.96,,-1196,-4,-124,,,59.55,-50.7,-113.55
381.01,,-1208,28,232,,,60.6,-52.05,-114.75
381.06,,-1544,-396,32,,,59.7,-52.5,-114.6
381.09,,-1140,236,-480,,,61.2,-51.15,-117
381.13,,-1100,64,-488,,,60.15,-50.25,-115.2
381.17,,-1288,20,-504,,,61.05,-51.3,-117
381.20,,-1024,-236,-208,,,60.3,-51.9,-118.35
381.27,,-796,-52,-196,,,60.3,-52.95,-118.2
381.31,,-716,-44,-188,,,60.3,-52.5,-117.9
381.35,,-624,-148,-144,,,61.5,-52.5,-119.4
381.38,,-732,-176,-80,,,60,-52.05,-119.55
381.42,,-800,-144,-28,,,60.75,-52.2,-119.1
381.46,,-976,-80,20,,,61.35,-51.9,-118.5
381.49,,-1020,-84,12,,,61.05,-50.25,-118.5
381.57,,-1124,68,112,,,61.95,-51.9,-119.55
381.60,,-1740,-192,-220,,,61.35,-52.5,-119.25
381.64,,-1216,132,-36,,,61.5,-51.45,-118.8
381.67,,-1168,-460,-196,,,61.8,-50.85,-120.45
381.71,,-1396,-180,-500,,,62.4,-51,-120.45
381.89,,-632,124,-148,,,61.2,-50.55,-115.95
381.92,,-540,228,-80,,,62.25,-51.6,-116.55
381.96,,-508,256,-108,,,61.5,-50.85,-115.95
381.99,,-816,132,0,,,62.25,-51.45,-116.1
