x,y,z,activity,jerk,moving_avg_x,moving_avg_y,moving_avg_z
-54,7,13,0,2,0,0,0
-52,0,24,0,2,0,0,0
-36,-16,40,0,16,-47.33333333,-3,25.66666667
-36,-27,56,0,0,-41.33333333,-14.33333333,40
-33,-44,76,0,3,-35,-29,57.33333333
-49,-45,69,0,-16,-39.33333333,-38.66666667,67
-70,-49,57,0,-21,-50.66666667,-46,67.33333333
-61,-48,58,0,9,-60,-47.33333333,61.33333333
-50,-48,64,0,11,-60.33333333,-48.33333333,59.66666667
-79,-43,35,0,-29,-63.33333333,-46.33333333,52.33333333
-85,-30,36,0,-6,-71.33333333,-40.33333333,45
-59,-35,29,0,26,-74.33333333,-36,33.33333333
-53,-35,20,0,6,-65.66666667,-33.33333333,28.33333333
-47,-31,20,0,6,-53,-33.66666667,23
-45,-32,22,0,2,-48.33333333,-32.66666667,20.66666667
-36,-34,28,0,9,-42.66666667,-32.33333333,23.33333333
-49,-39,11,0,-13,-43.33333333,-35,20.33333333
-49,-39,10,0,0,-44.66666667,-37.33333333,16.33333333
-49,-39,10,0,0,-49,-39,10.33333333
-49,-39,10,0,0,-49,-39,10
-49,-40,10,0,0,-49,-39.33333333,10
-49,-40,10,0,0,-49,-39.66666667,10
-50,-40,10,0,-1,-49.33333333,-40,10
-50,-39,10,0,0,-49.66666667,-39.66666667,10
-50,-39,11,0,0,-50,-39.33333333,10.33333333
-49,-39,11,0,1,-49.66666667,-39,10.66666667
-49,-40,11,0,0,-49.33333333,-39.33333333,11
-48,-40,11,0,1,-48.66666667,-39.66666667,11
-48,-42,11,0,0,-48.33333333,-40.66666667,11
-47,-42,11,0,1,-47.66666667,-41.33333333,11
-48,-41,10,0,-1,-47.66666667,-41.66666667,10.66666667
-48,-41,11,0,0,-47.66666667,-41.33333333,10.66666667
-49,-41,10,0,-1,-48.33333333,-41,10.33333333
-49,-40,11,0,0,-48.66666667,-40.66666667,10.66666667
-49,-39,10,0,0,-49,-40,10.33333333
-51,-38,12,0,-2,-49.66666667,-39,11
