,frame,nose_x,left_eye_inner_x,left_eye_x,left_eye_outer_x,right_eye_inner_x,right_eye_x,right_eye_outer_x,left_ear_x,right_ear_x,mouth_left_x,mouth_right_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,nose_y,left_eye_inner_y,left_eye_y,left_eye_outer_y,right_eye_inner_y,right_eye_y,right_eye_outer_y,left_ear_y,right_ear_y,mouth_left_y,mouth_right_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y,nose_score,left_eye_inner_score,left_eye_score,left_eye_outer_score,right_eye_inner_score,right_eye_score,right_eye_outer_score,left_ear_score,right_ear_score,mouth_left_score,mouth_right_score,left_shoulder_score,right_shoulder_score,left_elbow_score,right_elbow_score,left_wrist_score,right_wrist_score,left_pinky_score,right_pinky_score,left_index_score,right_index_score,left_thumb_score,right_thumb_score,left_hip_score,right_hip_score,left_knee_score,right_knee_score,left_ankle_score,right_ankle_score,left_heel_score,right_heel_score,left_foot_index_score,right_foot_index_score
0,0,761.2654599687231,767.2080879716109,772.6687298057108,776.1411691237277,752.245392199235,746.7901936031757,742.567051069303,776.9536758635718,732.2840444781505,767.873816799781,749.721760674733,794.7008405419757,679.2409279912805,802.1323379162359,629.257176986943,864.7435899362368,631.0239551881701,886.9395128551353,629.7244432335824,893.609150576722,639.6985863731289,886.0201529614833,642.7838820089546,734.7962631319851,662.3422962106059,789.8400946636873,609.8485902594925,797.7178712160043,586.5334377865868,786.1282127486608,592.0576476640305,821.8436397117711,564.2111366658448,308.23483145010863,296.92903071004855,297.65454088880773,297.74187612177684,294.56649937300443,293.8490220397782,293.81532408625714,300.4962376009242,297.4646375276885,320.1665979029223,319.2628341131438,368.9595339182093,328.8067323085156,450.09192734409595,336.63077000609337,472.0930892854906,411.60745385861406,479.7170696996261,432.38452618692037,473.67280112584933,430.28219746599734,471.5520894985448,425.5446637309553,474.7579045980025,467.293401341563,586.257405967552,586.5616480730148,711.8927671464155,710.8319775552652,728.8070401359624,727.7034151862098,749.1066310989465,750.4712354339979,0.9999918169705252,0.9999831792234258,0.9999823964013208,0.9999829037938723,0.999990662884676,0.999991045559516,0.999991932387659,0.9999871378097085,0.9999876236082251,0.9999845585212929,0.9999891726560577,0.9999738439281703,0.999975296372692,0.9218379065331355,0.9528762600238068,0.9435532321813699,0.9405417066168886,0.9262395132935187,0.9075666254140459,0.9387195216751381,0.9202832868182811,0.9271043349639481,0.8891356627297312,0.9989763038164973,0.9994893557551802,0.9436294243843936,0.9896197123133165,0.8884271332276529,0.9586767180352767,0.7553554843800299,0.7211255921879759,0.885619785168314,0.9158971143431645
1,1,765.0018917303844,772.4729160366135,778.0018031864387,782.6647881856084,755.8440630040168,750.5709790414003,745.7182603251732,787.62833459156,739.7897944047068,772.7383848891318,756.6764428785455,811.6073057094308,691.3780158019716,831.7790616872412,639.242136201709,871.6916530602523,634.0933493711958,887.2957521539818,632.620227595269,893.296766486412,643.096234870626,885.23620555273,645.7159185169241,749.4132392456763,673.976637760675,799.5324240433788,619.5374398614048,807.3688962600921,590.331682382531,798.0022785131508,597.7884292596476,823.2608403088998,562.2558520498067,296.81127061470187,284.2601350880227,284.39213385610356,284.57971553699633,284.0015090471572,284.2986256574721,284.46879382712365,287.71705750516736,287.12031201883195,309.0707949503253,310.5520821161904,364.91583147790334,323.5991949456767,461.95120109616414,333.9334562832326,538.4752256454559,412.9270448570442,558.8527468810119,432.05831696897405,558.7432056498349,430.4388807802777,552.9221273510354,425.6020213734959,478.351759943773,469.90496882645914,599.2735314225729,593.6395115405072,716.3194638226475,713.0379001992934,736.5767073914884,731.157776596639,753.8745954007321,750.48817432994,0.9999921479327427,0.9999836131673737,0.9999828424946273,0.9999834543251089,0.9999907499513018,0.9999910982085224,0.9999919956578835,0.999987361572644,0.9999871873229502,0.9999853076569309,0.9999895370972933,0.9999754730041333,0.9999760728793201,0.9291508360524804,0.9557721386497808,0.9487396041488677,0.9453158984660607,0.9326230602904256,0.9143665902135455,0.9440599495123311,0.9261895415182846,0.9333497525797781,0.8971718573462057,0.9989864314269323,0.9994819804814434,0.944936508300976,0.988969606884176,0.8801220748626828,0.9554596471124768,0.7368999671658318,0.7060262542013997,0.8775470280711637,0.9110474379324897
2,2,771.2972448817604,777.0894178702094,782.025350459895,786.0487541044695,760.4685487460465,754.8036149738591,750.3300854387701,788.3327286861004,741.9369488442615,778.6120124687138,760.5954579360869,811.3401292318666,691.1584591004349,830.0699242293325,634.3928289472734,844.6615023295462,649.273865996911,851.3170158381413,645.8063291105861,847.1908884902432,659.574759466776,839.2669626346581,664.3045643296555,750.6734777620504,675.7158183918741,803.6296099588255,621.0403706767186,807.4937760980829,591.5041813223158,798.3124691362486,598.022479323066,818.2442928778146,561.3559569511546,295.04067262783195,281.95063617239555,282.0621787130624,282.12487116542314,282.13623953477736,282.04997173298614,282.21275355749407,284.57658132992066,285.8213514784328,306.75972657612516,308.7609608932657,361.9177760986946,325.1283340109921,466.08084568457,376.30069596465387,556.6950723853049,452.15492370241765,584.8608604674488,477.10952463711664,585.3361986405104,475.39782103101555,576.1454410155945,468.5156458029338,475.4406000466833,469.9159954878475,598.9352879300303,595.7958588615327,703.2144424490388,714.1251130883047,723.0838618098427,733.0050901992698,748.4045305496204,753.8833421894318,0.9999929270140702,0.9999848196261915,0.9999840396133796,0.9999848956878277,0.9999911796149733,0.9999914543893502,0.9999923666800821,0.9999880876519465,0.9999863627223541,0.9999870152381354,0.9999904827468727,0.9999789208534935,0.9999777736330214,0.9419098357681126,0.9619843791818373,0.9578752123334107,0.954019192172427,0.9440019706349402,0.9268113274380183,0.9535336383601135,0.9369712558053622,0.944463772958612,0.9117841768098928,0.9990681850530636,0.9995036607204573,0.9388002866102771,0.9830981933571434,0.8364197422058108,0.9415697259443289,0.6759038474386267,0.6655784839323639,0.8346055155020125,0.8889052792779907
3,3,771.6009418491933,777.2157625565286,782.2826636071127,786.5031160580027,761.4757242640355,755.9172049171414,751.1494912893342,788.4624700019456,742.1408362984666,779.0001481208772,761.3943590149751,811.152322715963,691.0448322314936,829.9741715881197,633.146336260052,842.1102467255723,651.7670324378057,849.8479569396736,647.6614557236899,843.6157092934397,661.3548896862867,836.5523739124344,666.4788705716988,751.1363032238036,676.4001610391349,804.2397676714511,621.6889098939909,810.5941660396019,591.5560324105475,799.9284633660477,598.0755624474245,818.4635290842476,561.344256875506,295.13035983974805,281.9890321935688,282.0836431981514,282.11420659936437,281.4337213546864,281.01175289593317,281.0614811907019,284.6395832453268,284.79929034106704,306.78251179008043,308.07267298030536,360.749644549832,325.42447090639916,466.7809236094111,378.7264401454874,562.0703957140704,454.84973107443636,589.3587974283768,479.60751670427146,590.1174769514379,477.9270179436706,580.9383903399311,471.05916167747694,473.97441339690744,469.37149008892095,598.9206780375598,595.5565647504924,703.9452379624996,715.1613439582111,722.8536394144379,733.0028039277491,749.3634980715439,755.093422918954,0.9999937368754335,0.9999862887084975,0.9999855268504512,0.999986578899246,0.9999917853526185,0.9999919931868501,0.9999928749347928,0.9999891166652141,0.9999856218741825,0.9999888098561203,0.9999915430069664,0.9999823661805747,0.9999792483838688,0.9525882313122366,0.9679523132121942,0.9656303307502213,0.9616224192535394,0.9539411459880258,0.9379524922606604,0.9617694547340355,0.9466022692935139,0.9541894114207495,0.9248700386735156,0.9991875991952055,0.9995437707480942,0.930179506676283,0.9765517141513638,0.787414146912043,0.9272617805395318,0.6066007901243989,0.6266439887409713,0.7858067284799054,0.865521607494524
4,4,768.1614194838905,775.2260754117755,779.3247570779532,783.6370224955422,759.3387473461905,754.0374309993928,749.9943904689874,786.0513275839002,740.380711279839,775.13852933675,757.6307380206833,807.7717127575395,686.7681228159436,828.463147595754,633.2695405095444,849.8711793624377,656.884724759758,856.5190430033938,652.0353614428769,857.7310758551689,665.8069705957366,852.134524674945,670.7771994726345,751.1291718443911,676.4260127872071,802.6653821266314,622.9380099360445,810.996409122479,591.6381226850816,800.1313432455484,598.0645366988081,828.7801247205529,562.8540583844667,294.7643234396261,281.16561682605004,281.2635819710748,281.4971110117592,280.53846917985453,280.4855676249057,280.633681286529,283.8548631610824,284.3346912389373,306.0832164452874,306.55300982559567,358.65816417517664,327.758854812088,459.53112109324894,397.0315674390702,560.0198328983051,464.7747510839696,583.7609923122853,488.6511740683439,584.4983734791382,485.90082994637805,575.8620623448691,479.3713669671637,473.4018345974242,469.3680549921643,599.0524305090926,595.9921682152589,710.1734572039403,715.7399589475666,727.8477235814623,733.1105681133886,752.7700346977224,755.0106996621138,0.999994492418209,0.9999877741099851,0.9999870139110245,0.9999880213602615,0.9999925771592857,0.9999927773530796,0.9999935560628266,0.9999901040790338,0.9999860867411082,0.9999903827809882,0.9999925986615427,0.9999848765648117,0.9999807410352974,0.9610087621214015,0.9728668509821,0.9709804012857891,0.967757783802386,0.9604055259595452,0.9473198700560638,0.9671492115356629,0.9546773504073421,0.9604424147735792,0.9356081118013231,0.9992778098428797,0.9995749937412819,0.9333306531701114,0.9753625605163541,0.7797196313902964,0.9253386778657451,0.574653058974567,0.6118260182047166,0.7755691834943188,0.861591563858138
5,5,752.0225105737677,759.2962736455364,764.3365978487923,768.9560776749563,743.5330822301146,739.1636771983913,733.8255101704185,773.609405369622,726.3304662428882,759.6153729641184,742.8414627246175,798.8890707289877,675.4103883741017,835.2840292324074,635.1892967454941,892.4835341092045,663.4833674244262,911.5554545664818,659.770784897358,915.9526838579152,675.724593357314,905.8214065770901,679.9548889206328,751.179758457562,676.1797559480191,810.4614063417217,622.845103855826,810.9531420569782,591.6437089444164,800.291943311264,597.913333661575,823.716237991713,562.7146285036783,293.81733330362385,278.6645141509329,278.69982233981665,278.9703112695199,278.7084247026718,278.89823495194634,278.81589192715023,282.09693031327834,282.0655468480368,305.62006096344703,304.858911245692,348.74596487269764,329.6355299913472,440.44877044354104,412.06929372058954,518.9517711279107,478.3989764389877,540.1648681116258,502.84783931271284,542.2566556289153,497.6722545236874,534.8068536029574,490.68200698360147,473.79091653728483,470.0860666375005,598.4304229770748,596.0267429156996,716.3418921585602,719.7621331760979,731.1240935071498,735.0342621042466,757.490770592212,763.3469995677029,0.9999951586456469,0.999989093154061,0.9999882260181792,0.9999891144743794,0.9999934829637774,0.999993704385067,0.9999943812705046,0.9999907579803089,0.9999873021632413,0.9999915812878148,0.9999935228644043,0.9999866550107862,0.9999827139768303,0.9674125106305697,0.9769355226255321,0.9738517966780462,0.9727830758070526,0.9627122920504368,0.9551188530110842,0.9690174803269986,0.9613517920235115,0.9626037765561524,0.9443436494436004,0.9993699462879226,0.9996232269347268,0.9398813114007519,0.9742953391288666,0.7703608856511452,0.9194401386351301,0.5550474635098351,0.603575300027365,0.7601251083179879,0.8512213635446779
6,6,744.4946598789505,751.099226246632,756.3162983619222,760.943015687724,735.6579975409002,730.7135969909395,725.9995427281443,764.5817095101644,717.2534041016428,752.125521764752,735.5221792439877,792.3073949893818,669.8439401092596,857.4910066009767,638.0422440585588,937.8184573245312,676.7149818472045,970.2333450498942,676.2622057811016,967.2914131923521,690.4890027549609,956.5595666479826,692.6410006871045,752.3187338245859,676.3809697839663,823.6507004754277,622.9468309746242,835.2667407629154,590.7328215664573,828.3932331485064,595.5717395503119,849.1114799586596,563.0044599636029,291.92341603080024,276.54905810821947,276.6274590242886,277.10537176021893,276.6010621613223,276.84060805481727,277.01175730386836,280.5037608695855,280.8599117011347,303.8720240740422,302.76436395661193,340.6675962003229,334.4656950224901,405.06339188575964,421.68703397025104,435.91509933357094,476.508308759268,443.5806528526677,498.62889180857024,442.63621961530407,492.4237362597432,443.6087404510511,485.8331240824175,472.17004408627764,475.2775289915894,566.1541165473336,595.8188888676066,687.4011393671536,719.6351259258587,702.7844985042549,733.6816700395815,722.6332385041021,762.125945067275,0.9999957641931101,0.9999903258710287,0.9999893095990524,0.9999900735124561,0.9999943878572666,0.999994602643644,0.9999951980336254,0.9999911299127935,0.9999887479831717,0.999992511467485,0.9999943519406431,0.9999874461184497,0.9999850299618099,0.9688540819307376,0.9805348535290066,0.9636151776622068,0.9772527562211565,0.9502049949007282,0.9621717308055422,0.9578017045351338,0.9673616417855642,0.948169155262014,0.9522475349439739,0.9994423164612037,0.9996738532797261,0.9419515206795798,0.972756934089626,0.7473255763269454,0.9146428531040436,0.5393231781379868,0.6027513851059862,0.7368883126742308,0.8438345396339716
7,7,748.5942672814836,754.5610134787587,759.7687271675862,764.2219710373317,739.2433669921595,733.7648870927684,729.2201179640058,766.303129439861,719.4250567983578,755.6957397030629,738.2256077234681,793.5896806005933,672.0379090816655,888.855257401745,638.9919620170546,981.8649197734314,680.5643540647063,1008.5558094195505,689.6931350390865,1012.1555378862354,700.3778233719877,1002.5322815196184,699.0798466465199,753.8667516161102,676.5855138208017,843.2722051229566,619.8459154045445,872.3148492465394,590.7484929063909,865.4394247029772,598.4981661409415,906.0095221988806,561.8212124313108,291.1178883743183,276.52808950812397,276.76211754958763,277.175484178559,275.4219429832673,275.0637883451629,275.0633578487977,280.1593259698243,279.37936309649064,302.5059685526387,301.74682837656843,336.7712538011688,335.6026842619637,366.23757217208174,419.569733958142,361.3419872050988,456.27598915399926,358.40210167900574,467.35770103076277,352.2895618023263,453.555542857677,354.7377255227598,450.12722710418404,478.5743045872753,485.08019976297464,572.7358291141586,599.1013184416903,689.5319350522763,719.5596694552584,708.4527249067713,734.066818535632,728.5578361093712,764.0259149487108,0.9999960262564102,0.9999906684193605,0.9999895189521373,0.9999901742382009,0.999994856088578,0.9999950879282448,0.9999955162249827,0.9999913639410365,0.9999895018882433,0.9999929020080218,0.9999947050904008,0.9999876722053875,0.9999846398476534,0.9706504243603901,0.9830220797669296,0.9577084725539463,0.9803510848460708,0.944051685989948,0.9675606599328376,0.9521907880324585,0.9719802129354811,0.9406442569114601,0.9581057666112259,0.9994605767448062,0.9996756795525018,0.9451867093961045,0.9747822120639427,0.7593922166894683,0.9229403697959468,0.5660660067131591,0.6346298299358394,0.7500827448180111,0.8580724889469069
8,8,763.7490274116633,770.6702204298424,774.5385475336672,778.2586571646606,756.1727366832167,750.3513476846492,745.1322316736096,778.6075160246364,732.1607643054151,769.1030477698082,752.8257946210999,808.7221892474711,682.0414202234072,900.2706811862954,643.0128502537981,981.7067935223655,676.174471904093,1007.0216961904564,681.7842366852417,1009.614183646112,693.0726547849041,1000.5676719848348,693.5087334231275,765.4994760267175,688.0060276452753,862.1912333383058,620.1197219113657,923.2197159808198,590.7651112917576,919.0855198228139,599.0996515405132,966.9461777456753,559.8770963724976,289.96242039600963,276.31489595330993,276.3134026882707,276.5443097848413,275.4987717708458,275.16716811381997,275.1531986338409,279.68633201488916,279.1857709143966,302.0773988639251,301.4264622038235,336.5529950969858,336.9938178010659,332.7985123725637,421.55245407272787,305.01652112626897,417.02093603433195,299.5313063695821,413.67903711219344,298.6401641308914,401.37328639327586,301.66157768675697,403.61558732254474,479.08822071172455,483.8734474496377,576.790643575171,599.9433673638722,691.5047447159776,719.5097853604445,711.085323654845,735.3508593183776,727.2543970046829,764.2618819131475,0.9999963236535414,0.9999912003685556,0.9999900868834191,0.9999906541610275,0.9999953064639103,0.9999955397363873,0.9999958080979969,0.9999921549294706,0.9999902323903289,0.9999934118591245,0.9999950399999303,0.9999885938549214,0.9999828965757138,0.975510702458898,0.983992855746868,0.9648187090959182,0.9818329103986294,0.9533671715921358,0.9708231921882187,0.9602331005486267,0.974737509820513,0.9504768666255362,0.9610882340510314,0.9995022903437001,0.9996815159280573,0.9518729929379124,0.9786178724405687,0.7973620893025839,0.9343237091018506,0.6240702514810522,0.6838308349944531,0.7865886899010527,0.8774801598847894
9,9,799.6211794172636,804.3707918779301,809.3140973359793,812.7616581488593,789.4311253781528,783.6940577693058,778.5704647193991,811.4766406135867,767.2121198732317,804.6531007692646,786.3117655540873,839.3249225254592,710.3741447706909,926.1292309596645,671.3545258902823,1004.7813403470502,696.8803558783827,1028.5879809778248,707.3563518917775,1031.869932266343,712.7944401365048,1023.8070684946917,712.7800524957318,789.080885717191,710.7467257783412,880.4828263257039,630.8496449607339,954.36210745957,590.7786985738586,949.5176151102139,599.2715793516188,1003.523928338873,555.7338685163626,287.895589940692,275.6845295981994,276.00354628646096,276.3467669564863,274.16396787141866,273.8340497624779,273.8247589720136,279.7339819747548,278.4903135627496,300.47703017013794,300.9092437696159,332.0528315917999,336.85893202775674,312.52774908529625,417.1048860721174,277.48690437384016,433.7851983286155,271.8514858180985,449.5263506060655,271.96795208503414,437.10239045410134,275.06787863718233,414.7009951950672,486.1598322460354,488.52808016933,577.5585166440991,600.8302663734671,692.8964834992241,716.2806254876198,712.1371980712233,733.2551769960403,720.785204266472,761.7490520752857,0.99999688682112,0.9999924918792344,0.9999915320952852,0.9999919844044007,0.9999960357751698,0.9999962288899097,0.9999964041828837,0.9999933597070013,0.9999915446474964,0.9999942512014872,0.9999956109415433,0.9999898987945781,0.9999808985377473,0.9796065229543057,0.982352505826542,0.97070487275399,0.9558905424439061,0.9609103657321352,0.9413632281313907,0.9667026037046534,0.9463167107419957,0.9584590816840883,0.9258748008032747,0.9995848660432164,0.9997261952996115,0.9597196187573144,0.9821470974902793,0.8333770838155393,0.9452151345543638,0.6847082149276171,0.7326307254386415,0.8235287840558838,0.8969568056816825
