,frame,nose_x,left_eye_inner_x,left_eye_x,left_eye_outer_x,right_eye_inner_x,right_eye_x,right_eye_outer_x,left_ear_x,right_ear_x,mouth_left_x,mouth_right_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,nose_y,left_eye_inner_y,left_eye_y,left_eye_outer_y,right_eye_inner_y,right_eye_y,right_eye_outer_y,left_ear_y,right_ear_y,mouth_left_y,mouth_right_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y,nose_z,left_eye_inner_z,left_eye_z,left_eye_outer_z,right_eye_inner_z,right_eye_z,right_eye_outer_z,left_ear_z,right_ear_z,mouth_left_z,mouth_right_z,left_shoulder_z,right_shoulder_z,left_elbow_z,right_elbow_z,left_wrist_z,right_wrist_z,left_pinky_z,right_pinky_z,left_index_z,right_index_z,left_thumb_z,right_thumb_z,left_hip_z,right_hip_z,left_knee_z,right_knee_z,left_ankle_z,right_ankle_z,left_heel_z,right_heel_z,left_foot_index_z,right_foot_index_z,nose_score,left_eye_inner_score,left_eye_score,left_eye_outer_score,right_eye_inner_score,right_eye_score,right_eye_outer_score,left_ear_score,right_ear_score,mouth_left_score,mouth_right_score,left_shoulder_score,right_shoulder_score,left_elbow_score,right_elbow_score,left_wrist_score,right_wrist_score,left_pinky_score,right_pinky_score,left_index_score,right_index_score,left_thumb_score,right_thumb_score,left_hip_score,right_hip_score,left_knee_score,right_knee_score,left_ankle_score,right_ankle_score,left_heel_score,right_heel_score,left_foot_index_score,right_foot_index_score
0,0,661.9083214551695,668.4741385261193,671.9624867394837,676.3126502513268,656.3550147960023,651.2313892267321,646.7509869301314,676.5520818088594,637.7449377941717,667.2220942845179,652.6586638991058,692.2227939183448,596.2539622099596,686.4921143309805,579.7486790612962,716.3115284924639,588.3806052952924,723.5528149032004,584.750073011208,728.2463933398853,593.9600213452035,723.6528284326309,597.4230203861182,646.1114826453121,590.5862406742312,650.75534715218,576.0715793105605,647.5709752231035,560.9602461793006,637.7348219997815,569.6310269077063,674.8270222987675,537.7602369828114,260.35409512901373,250.52023921522667,250.5168397704128,250.61291269595543,249.32810452330656,248.37622210268415,247.29974557788373,253.33429214554863,247.7911407561997,269.6379094713639,267.11140882289305,317.49150331525175,292.1611285753649,399.1867895651115,375.7678955412545,469.0975559973672,451.7617201737844,490.2872620429398,473.9001397130898,491.180883367383,474.59090055234725,484.6988512103148,467.42747851292717,445.743667805856,440.0342819045606,558.2642796561321,560.1362686404838,661.9884342114818,668.0721536971619,681.6791671215534,684.0934641714538,696.7666702780115,711.6224837514047,-656387.63321728,-639440.286551427,-639861.8068813748,-639836.7741568903,-648397.3413136753,-648862.3445911442,-649095.1345146138,-472682.606238461,-513373.8524338137,-585395.9316706245,-599307.2076503868,-295894.6111187682,-372788.89456600073,-205048.95608988777,-361074.97288345755,-301438.5187616157,-494254.56857487257,-332974.73065299535,-548500.1942481236,-390946.6287152553,-587712.251468465,-325648.6227549798,-513393.9362703484,19187.180919953094,-19407.293822499836,83627.3716276669,-64810.24620654169,259940.7719965218,80348.07871426092,264384.3208298058,85238.10853079353,89462.79519686519,-100793.52040141253,0.9999962224067419,0.9999924207349759,0.9999906549652334,0.9999918706095199,0.999995694026823,0.9999963498359172,0.9999969203366202,0.9999920143004726,0.9999916896769856,0.9999931076186298,0.9999949516956473,0.9999947436820207,0.9999966421108111,0.99033470505382,0.9972700277603582,0.9910182730798733,0.9988499793781142,0.9838659777942502,0.9973880320020756,0.9869513040942781,0.9977387288207714,0.9832512687172382,0.9960696829546245,0.999992825817545,0.9999949157781255,0.997532342160572,0.9986498863472688,0.9987956424722527,0.9991550388614877,0.9817755562541486,0.9808072907829312,0.9985250601607534,0.9986709837728927
1,1,672.9048986430073,679.7043183859506,683.2568247404206,687.5103013185089,667.9366588523171,662.7920605397953,659.385467367311,690.3148492802133,652.3504658555164,676.9480433843831,664.0936976826581,706.2633158400681,610.7825053599252,716.8779414973972,595.2679494327429,738.6434762189298,599.4253162323513,750.5971793456958,596.8691346847808,751.7462811475447,606.7064418624664,744.6036047034809,609.7079826757902,660.526941011895,605.7999831939989,659.7564616499833,584.1500470577424,649.3542673486231,563.9275706549748,638.7155177258516,570.8295112050621,676.9264338920518,541.8208164076132,262.2706871339196,253.6167076668295,253.75045174875177,253.908518560099,251.59850081782076,250.54581316187,249.79401963239314,255.14294579842522,248.6598440080167,271.1688092449073,270.10688737109143,314.8172411250293,291.8707515979878,395.9708930932924,375.5423512500351,465.59634259758917,450.98807319248533,486.7396654027813,473.92010860110184,488.11787311893505,474.0615110743117,482.2392651018291,466.08673940167336,445.8472023233924,440.70992809317363,562.064970256352,562.0431445784279,662.2499870024503,666.8084348900911,679.1121939235799,683.4830645625112,697.1588058234574,709.8613157323953,-619016.7531948206,-602995.6337106639,-603427.940203748,-603397.287950981,-609810.9755968942,-610296.8753424917,-610548.0491911365,-436793.7696119459,-467322.3655990319,-547203.79293055,-558417.0899568747,-258555.20381357783,-327036.885878754,-173354.07995164525,-309389.0658694747,-283612.362923857,-437062.863822193,-315725.20347264665,-488550.282985332,-370654.20437688916,-524211.990001498,-306435.5801930102,-454390.12639090593,21177.005273369905,-21402.5125895933,109169.35957115027,-56990.30320185863,296678.57571517956,79266.11505113161,302589.4718420041,83417.83274354428,130027.60578008938,-103988.79945080647,0.9999959023304539,0.999991593927554,0.9999896518755075,0.9999910266308721,0.9999951912455766,0.999995937485768,0.9999965745573156,0.9999910095380873,0.9999903648011224,0.9999919593196431,0.9999940114550011,0.9999943964357951,0.9999960245632337,0.9906059518750612,0.9969017900347927,0.9911119858921849,0.9985895128468112,0.9838125915843696,0.996822252441379,0.9868780105983994,0.9972336085616677,0.9831225669436878,0.9952514773316342,0.9999921856434509,0.9999943410786377,0.997523290625303,0.9986761363842436,0.9987444158635839,0.9991512949860413,0.9811248065631322,0.9805793237526436,0.99843546085959,0.9986360629099674
2,2,673.953510303751,680.6277508776011,684.7256206880193,689.2677044834262,668.392156126233,663.3780559016656,659.8818657416111,691.526042015664,653.2734231709163,679.6251134757835,665.6894149625398,709.2570685219721,612.4900886265622,715.1887651460912,597.9995635315075,739.3701360551127,606.1880210999034,749.7325986779138,604.151894957168,751.3485248188073,613.7735158053957,744.5618683524513,616.7392879080808,664.2300692037782,609.1969801861349,661.0375605420013,585.1229242870957,648.9288970675312,564.0055686048272,638.7316328126517,570.6959479439925,674.3325576240534,541.1854882707123,261.3770746251666,251.72436003264986,252.19085605271715,252.76927987484612,250.6072546097071,249.99738992961136,249.4835248345517,254.72228620909667,248.60759681216214,271.1922000523801,269.2787151030524,314.76137398276563,291.879674519396,403.2733323656133,375.51643306432567,477.5881243494133,450.7536688165651,498.1694582753739,473.7566806011356,499.961103366307,473.8822686602053,495.15795311608485,465.9293775032847,447.38122408938193,440.9124393163044,563.6321728956881,560.3659616406511,662.0132730024015,666.1060917166573,678.4375859382333,682.9821737627287,697.0153205394934,708.3196636770474,-618518.6679932546,-602919.1893736571,-603366.9059983995,-603343.6349635147,-608785.3131146992,-609268.6168465837,-609530.8753445611,-441756.7118202627,-467822.6112412622,-547417.7087832585,-558787.3957409693,-281448.73728504067,-326505.98572714464,-194139.59643769579,-310373.62447534123,-284700.03964411747,-441757.2101735381,-315755.0758705364,-492453.47612871404,-370738.99468144344,-528802.0526948054,-306954.42308935075,-459840.75834471255,15486.743380154667,-15692.483972601967,111664.41143573794,-58833.247334307234,313897.1367741303,73942.56205768032,321640.9029265491,78011.14034082816,152989.79844554362,-108768.4652964134,0.9999940154372016,0.999987322777897,0.9999848114809551,0.9999870914507973,0.9999924019292398,0.9999936437289023,0.9999946050491934,0.9999870170178271,0.9999837692743128,0.999988093844669,0.9999905427951329,0.9999937544151793,0.9999944211226808,0.9912714252709989,0.996158160266013,0.9915335543948228,0.9981708407862118,0.984211094271227,0.995945949312458,0.9871632546647783,0.9964573650697204,0.9834315573809667,0.9940184532468014,0.9999906572654835,0.999992903218935,0.9974166700939398,0.9986990426819867,0.9986288449862242,0.9991467305188483,0.9795460209824001,0.9802574350267619,0.9982352166106508,0.9985798921197903
3,3,674.4894985622103,681.3002048925824,685.3057817308251,689.8002669700566,668.7654720006876,663.7394829908621,660.2577811247559,692.009956211002,653.5660570190101,680.8000209061847,666.6102843554495,710.2679623644576,613.2355649061232,714.746985100923,599.1102936335709,740.5716748247412,607.9545925372208,750.0900043636623,605.2948015356776,752.9374070773229,614.7745527443213,746.9658349709848,617.8227269607104,665.6360633205384,610.055167715819,662.0708618091622,585.4606123430696,649.1158906899767,564.0628530842524,639.3556929412299,570.6416475563485,673.103911430235,541.280983776315,261.2912014469052,251.4630196270604,251.7810269361528,252.30252954596696,250.61292560639546,250.0081506873494,249.49929748989118,254.3569368802594,248.60202893791705,271.178968211545,269.1445045210231,314.8250945302393,291.87209922025943,402.65273962776394,375.520615338418,476.5075046715203,450.94475671306645,497.17170547953884,473.9750582374531,499.66748463778777,473.8682617036365,493.93559578157743,465.99571043506893,448.0574617448781,441.50918070612545,563.6062687392873,559.8976797008863,661.7861136022831,665.9379427283803,678.3199955605986,682.6325273505506,696.6574215936575,707.2140015677031,-626999.3373059802,-612106.4246856726,-612570.0140504168,-612547.5241395328,-617168.3167067018,-617660.809637558,-617940.3176383076,-453836.2522817721,-476678.36816324445,-558321.3953857968,-567661.324981406,-292387.21577519993,-336470.0558322651,-210803.47524980138,-332870.20431274635,-296838.06237705064,-480388.2083945162,-325704.04742834193,-534553.2483855933,-380591.1166708978,-570526.5674743835,-318916.29231904686,-498815.3874642209,13886.808299324148,-14086.010683737752,118718.91683526251,-56603.87407903806,317868.4482286881,79719.28186961505,324953.77381118725,83989.44585602148,154436.72423198426,-103516.29260828454,0.9999913017350424,0.9999811400112611,0.9999777773386747,0.9999810959614066,0.9999886710870024,0.9999906850296653,0.9999920861608537,0.9999810042700956,0.9999756990771645,0.9999825274871799,0.999985920990345,0.9999928483635073,0.9999929868570012,0.9913700234902963,0.995570492676576,0.990769752546382,0.9979098456057665,0.982577635443464,0.9954133708768136,0.9857731357891315,0.9959906273482504,0.981730100025985,0.993270395531894,0.9999890448310759,0.9999916146672958,0.9972008126337355,0.9986698482378884,0.9985083169085234,0.9991274181134346,0.9780341979356156,0.9798989938978145,0.9980407524825634,0.9985191277740509
4,4,674.5523267684842,681.4125460796323,685.4833353904734,689.8572631622428,668.8005504218997,663.8341295632565,660.3180612428869,692.1402063064011,653.5713093580318,681.1872760316598,666.7033866795398,710.6986057678748,613.4734505455607,714.407336210121,599.5015356766353,740.6623850491351,608.1930317045026,750.1323321712105,605.0208063506187,753.4091739862411,614.5234730226173,747.3013815720319,617.7751003009496,666.7449413183865,610.6352857111902,663.1732999286673,585.8302464674457,649.4736001820656,564.133750874142,639.5250978610876,570.6642946639872,673.1956520866677,541.3826888701966,259.3974934371469,249.45064269550505,249.78729871778677,250.34599258637414,248.89815281836124,248.5791034999738,248.2947915726947,252.9462446490114,248.07653611532396,270.1795783293501,267.8479016585596,314.63924423190485,292.21869974801945,400.46576308149906,375.6514685189148,464.4364244669951,451.10480748204776,484.4019806231732,474.2605619736418,484.41763852172244,474.0021889042147,478.07630648387124,466.2100909829746,448.261649092261,441.70619933834803,563.5697339016892,559.1290591919732,661.3365004439461,665.537107922352,677.9779815074605,682.3047318972477,696.6293891389407,706.6799281865749,-593947.2933368469,-578236.2088758602,-578685.8352676751,-578665.8212942032,-582733.6733600283,-583233.3579502591,-583509.4552483012,-421807.2734803399,-441778.598368073,-526993.0171242598,-535180.1397376707,-267810.4782675844,-307968.48778920167,-206694.92532728624,-300809.9750875505,-298043.36607460177,-447647.2019998217,-328434.7615034012,-500762.8203769012,-381498.1836646118,-536703.0513720852,-319854.8173405394,-466116.31481983705,11732.452052929473,-11946.95580662246,117981.32382399667,-46607.54327548483,307630.7583253492,84384.9240468349,313690.2355784836,88092.7000880748,143739.42048843636,-98144.65259416169,0.9999886137345084,0.9999746911826399,0.9999700069104969,0.9999742320410612,0.9999853454585411,0.9999881243915214,0.9999900389724778,0.9999735152816533,0.9999691799902272,0.9999762554957331,0.999981499158979,0.9999913572069126,0.9999920941651284,0.9901214187715192,0.9950999770111857,0.987407731712697,0.9976767788614417,0.9768411973812382,0.9949327489522624,0.9809436289185111,0.995566679006283,0.9759046804793607,0.9925687808804938,0.999987824762142,0.9999909754989708,0.996876490563711,0.9985642717891455,0.9983523900369453,0.9990700878230826,0.976137352742398,0.9788622959910882,0.9978133385862583,0.99840310922966
5,5,675.025504207564,681.8686097430515,685.9404498018732,690.2469868833545,669.280956827972,664.2872617597056,660.6724011392957,692.4709074814671,653.588528155579,681.6928277402317,667.0431084773945,710.8309923018851,613.5309361123345,710.6953651178626,599.7653330624642,745.2650535957075,608.1042791356574,753.4948276211982,604.9524674200692,759.4472756015166,614.3036013234463,754.1623103635859,617.4925295496653,667.028943193882,610.6452023966257,663.479557533378,586.2004405179465,649.577172052311,564.2092946061081,639.4215669243946,570.812125428124,673.5176953305887,541.2777568093795,258.3121557532999,248.30518166820136,248.62576987422688,249.2349185020394,247.52299464557214,247.27262564489592,247.1296216639587,252.00327334902516,247.60581651736356,269.58496222113075,267.0269795581151,314.3232942233136,292.9572941732712,396.0044369788426,375.8139182112443,452.3878580986418,451.2212925415721,470.0408186775689,474.37277204474015,469.2683551819572,473.9971979130819,463.2064867008307,466.2318830555538,448.40834949188246,442.0083346266218,563.730796005105,559.1166580503376,660.5699734785852,665.1273855458056,677.1524407282946,681.2424279945528,696.7338111079911,706.6561422849967,-583176.0276779023,-565768.8203125894,-566213.4672553664,-566195.1075001119,-570760.3133450327,-571259.9371579387,-571530.3372052965,-402256.3739537084,-423994.2430638129,-513858.0215702468,-522516.0170748408,-248718.43560378763,-289943.7318753561,-218910.75095130826,-279641.10945568257,-381869.1656787985,-427940.5273312917,-424025.5148414342,-481961.71934108244,-474986.58826974384,-519682.96418554685,-405182.43594623415,-447138.3357785628,9619.393511311435,-9835.557555719117,105965.29607629601,-35900.82144586693,304630.0779187992,114292.37070057083,311769.40935089224,119994.04680882569,141628.2927820926,-64001.82300423416,0.9999861231601511,0.9999690269959216,0.9999630887817053,0.9999679699545843,0.9999825034747236,0.999985901430315,0.9999882931761199,0.9999664345299022,0.9999639437144654,0.9999706052416011,0.9999777693383062,0.9999895819005024,0.999991361964624,0.9877490072129773,0.9946456878425387,0.9831823659768884,0.9974347085482043,0.97072957790466,0.9944715687519452,0.9758099036400745,0.9951572903976997,0.9695614839448548,0.9918969341341499,0.9999870255708306,0.9999907349028084,0.9965922720122931,0.9984569713734186,0.9981949708043651,0.9990002748543354,0.974238356140382,0.9776553115567976,0.9975846821663955,0.9982574616762647
6,6,676.2571866772375,682.5857601766375,686.5554935297804,690.7797429451794,670.2445923167984,665.1223671507795,661.3808517491177,692.6064814131164,653.7277833567455,682.2596153543573,667.891380080421,710.8027647379009,613.5966996192745,703.0636209818703,599.7129805680979,744.8174300292785,608.0345796175809,755.058327164744,604.4119116984294,761.3635410864058,613.6536532350315,754.5851651245537,616.7688109843575,667.4329671058038,611.1750999727116,663.8711050642733,586.6084242031726,649.5850673957136,564.3744913729378,639.0473857686497,571.1257097529478,673.7869853082805,540.974858618121,257.8449909749242,247.86967810512627,248.1277417140938,248.7247719058426,246.87613377267076,246.55960674792982,246.4349227615756,251.27802219662684,247.19603605910663,269.13865123902923,266.53456582361014,312.4070607709405,293.63971432316595,387.9524308146133,375.9617961478442,421.8488914915963,451.03747169885276,430.46176864960444,473.9561073676471,426.2915102827255,473.5061770038983,423.23687010320026,465.4242341854344,448.36051392692093,442.2195196691888,563.7327288013246,559.1339617050014,660.1493748230672,664.894914356229,676.6255310222508,680.8105989141615,696.7350648316611,706.7120084891167,-511917.4671010882,-491781.29430046194,-492191.40040733153,-492184.5175067084,-498703.45759379567,-499252.53370196477,-499573.9038266823,-322366.08534221625,-352427.3816344608,-440588.2845482493,-451633.8935878971,-162550.67730863384,-230230.83428994584,-122583.54478479175,-203271.3682024129,-283881.9820129316,-336615.96312616626,-322928.89760100894,-386286.92710074945,-373283.10311908496,-423940.60280302295,-307916.5976090486,-355117.5562102429,10019.8284686207,-10237.218000276836,80286.09518494905,-36973.23641348893,279706.4665461357,127476.76281452508,287617.026145015,135038.39260685613,114973.10564376105,-48517.4699728135,0.9999782281355357,0.999951424338455,0.9999414138959685,0.9999477835014721,0.9999748924775744,0.9999802859955335,0.9999844156558558,0.9999412806921603,0.9999537277652121,0.9999519680278584,0.9999683382615405,0.9999821188900806,0.9999900789394285,0.9755803051473102,0.9941421971311636,0.9733109362646396,0.9970744791105928,0.9600790169723128,0.9937868284900788,0.9669837819959338,0.9945506726011144,0.9590686789757614,0.9909522268813806,0.9999862230341362,0.9999907961798713,0.9963395307890859,0.9983704450622405,0.9980323187370349,0.9989171492828183,0.9720903734260484,0.9762256364903162,0.9973043077842981,0.9980511826417676
7,7,677.8019166768765,683.420926453907,687.3733735105034,691.5867622304618,671.538224761997,666.495606345821,662.4919972217335,693.019129647216,654.4168097373132,682.8592648979604,668.9511990025436,710.5724629011017,613.8972609287555,698.7511212873032,599.6990792446949,738.8252123187226,607.7868181162397,754.7063938758911,603.5135324336037,760.482174732713,612.7409937096465,753.2574785223878,615.8556040986606,667.670605734364,611.5662204504525,664.0741945739908,587.2276239290458,649.5921367427053,564.6105031295942,638.9377196219178,571.4324503957095,673.917997998225,540.9385320784136,257.79357626622055,247.75548831054152,248.0052514719919,248.64466120339262,246.65519769800702,246.31873059142032,246.18616238541907,251.1070040033449,247.0492413388882,269.1132522333292,266.3366454365417,311.41483469951794,293.8654171197123,385.2166763173342,376.2053027979558,404.4723687948643,450.987347244413,411.4452609400858,473.96601231248906,405.02634489514935,473.504795144089,402.3028266930107,465.3976743285982,448.4604968108779,442.69978318760184,563.8035437582199,559.1202884622924,659.9904354302586,664.8575952913923,676.4137214052677,680.6707532169789,696.7676480947463,706.9896107013152,-494055.0446215889,-471760.6225395489,-472154.3328245473,-472140.2757734538,-481086.48123339715,-481630.827559928,-481948.66478676174,-294300.1999089555,-335603.9512428124,-419998.44571695424,-434333.53750427166,-130740.89360758048,-215168.64287813674,-116145.16440364088,-190148.78963946586,-302932.23173251847,-319754.02826983604,-350924.2969958508,-368727.97382232687,-396274.6524840501,-404325.49863761966,-327058.8692659387,-336995.8238023032,13488.900011873706,-13683.409722736216,82704.45059815391,-38350.4163515498,284912.1000402911,121274.18887921365,292957.36257554486,128633.68415228502,121394.6663488334,-53410.26962139099,0.9999664591644798,0.999925761440768,0.9999096049951417,0.9999177210990451,0.9999640218455841,0.9999722695350153,0.9999790091981936,0.9999034076011348,0.9999407628184389,0.9999265301900014,0.9999565022853016,0.9999701310467237,0.9999885884486343,0.9603278042700834,0.9938070648472827,0.9652579640694989,0.9968028893765264,0.9521338435841757,0.9932425217979642,0.960305225982443,0.9940555716251833,0.9509190412062856,0.9901916298879924,0.9999853732275789,0.9999909967473365,0.9962442124804466,0.9983660216033916,0.997961688678065,0.998890424203913,0.9708369462255705,0.9756188959566181,0.9971238341379094,0.9979291970371802
8,8,678.4129715195527,683.8548167313446,687.7731089099152,691.9808994537289,672.138118277675,667.1289927916373,663.0593955693801,693.2302708583542,654.8201376973584,683.149004860388,669.5161122968743,710.3363601355767,614.257004915178,699.1694059328541,599.6895122312076,739.6773271158545,607.7022415997178,756.9062381921394,602.9255622142932,761.2800820967574,612.2519095471467,753.7017548804388,615.4538815604974,667.581185636659,611.629835792837,664.0801291868181,587.4361168167661,649.6417087250511,564.7438997729572,638.9395008258873,571.5366853647392,674.0106135925223,540.9023479309693,257.8254990656089,247.80292425318686,248.05050531422006,248.6841990505831,246.6975560652476,246.3459451899959,246.19218296828126,251.09632601910525,247.01038734933715,269.1444264369072,266.3417772380791,310.6805741744314,294.0410559032082,384.6203551648541,376.64085213372596,403.51767899606654,450.98910159439873,409.03326685898014,473.970091875711,403.3483438497147,473.55373415669266,400.352182139552,465.47045299977265,448.5545529351664,443.040137659666,564.0218715967043,559.0475750779838,659.9692280475034,664.7825738306385,676.3190830526535,680.5137389730994,696.8491038205328,707.0273758662839,-495625.62243912223,-474092.6250711703,-474483.20984891045,-474466.7765803105,-483146.9130657212,-483709.969115055,-484048.68059097143,-300124.7858906794,-339962.5466597178,-422816.3906406801,-436711.1295091864,-136038.83260659841,-223893.53950704873,-123183.45665251822,-195602.39663105374,-312992.15480054024,-314685.27345660713,-358384.35889858805,-362170.2531224308,-403900.4202256576,-398133.6765920513,-336783.0834306345,-331751.21101433964,14779.37108267532,-14977.839180613455,80251.7381309111,-37861.50630759565,276896.29225998744,119192.63900837727,284789.0231440876,126123.51941355423,115508.09719897238,-55605.835967608764,0.9999406724998547,0.9998654294024789,0.9998339160265506,0.9998440435671747,0.9999400845870559,0.9999553122959919,0.9999678450970336,0.9998114208830033,0.9999156228688075,0.9998723227153417,0.9999333106691106,0.9999492128761689,0.9999868929208261,0.9400533695122837,0.993492017256498,0.9514150226062544,0.9965944463020655,0.9387671011818051,0.9927998136163463,0.9485604091329001,0.9936331575105966,0.9369438962044654,0.9895106968910338,0.9999848725299062,0.9999913419106529,0.9962334727401505,0.9984094122188514,0.9979649576456937,0.998911232649156,0.9706599781237123,0.9758278774455498,0.9970456604247501,0.9978944561986163
9,9,678.6884268303335,684.0530312138028,688.0258683418817,692.2864752980423,672.4219330275798,667.5113867138841,663.4100827418797,693.4607938262787,655.3584840349454,683.3704353088708,669.8332654613831,710.7753168964392,614.5815148459158,705.0310715995922,600.0646158090742,736.1858446537692,607.5733449898736,748.2179136775803,602.9238204478365,752.4360277801152,612.2203290374651,747.0478203816527,615.4350199215087,668.1489694084748,612.1101363691754,664.0742733064953,587.5063730968776,649.6648776340941,565.0228746136855,638.9707176617267,571.7743215678486,674.6035428729024,540.949700408032,257.88083022249043,247.8334735644548,248.08483790595045,248.75359529359744,246.77332595712883,246.45309783936727,246.2935150642588,251.12143932261915,247.07552706536825,269.2478938259234,266.40989652979124,310.3296316970412,294.5207470909696,381.4071570098571,377.04837568311973,408.12309478755026,450.9512275395979,415.7557049711721,473.98642990819604,410.6271715524074,473.5503568583288,408.72843783497547,465.45214892189335,448.55740658289096,443.0444879663103,564.0244334268041,558.9276414125313,659.9692668234856,664.4367526321054,676.2781604422166,680.0188978677095,696.803554777119,706.9997337964156,-481227.9411736457,-460263.30479963403,-460650.8160481821,-460625.0781479296,-467634.49890327983,-468163.0527175771,-468470.13159459434,-290005.51275169174,-321166.26603059215,-409738.1840805619,-421194.5231646223,-138409.96660526586,-204547.62584618735,-168830.50886647595,-173671.5187920162,-425699.32008105615,-295522.53370415105,-482213.65295189695,-345201.50547034317,-521823.75579549227,-382016.0886001006,-447682.746921388,-313167.9815866832,13012.692128828601,-13214.685078613522,68116.90576517367,-34388.17319549144,256912.3044492401,119204.95640869264,263848.6805492637,125563.39219097528,88029.77063675894,-58786.328979831465,0.9999082186004347,0.9997883306982303,0.9997361133043097,0.9997510040207297,0.9999086702916865,0.999932536854276,0.9999527384624052,0.9996955391150681,0.9998795823605963,0.9998056908858306,0.9999021432446974,0.9999290416269988,0.9999847577992876,0.9078021574114556,0.9926307068746875,0.9173728302907854,0.9960173611109953,0.9075092237936313,0.9917623781171183,0.9206912770533325,0.9926792979531226,0.9035541652556418,0.9879100510809763,0.9999844374688652,0.9999916420992983,0.9958581830585218,0.9983089092713996,0.9978459768806273,0.9988569821050173,0.9691584361705617,0.9747785041699165,0.9967957286663769,0.9977112381957712
