,frame,nose_x,left_eye_inner_x,left_eye_x,left_eye_outer_x,right_eye_inner_x,right_eye_x,right_eye_outer_x,left_ear_x,right_ear_x,mouth_left_x,mouth_right_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,nose_y,left_eye_inner_y,left_eye_y,left_eye_outer_y,right_eye_inner_y,right_eye_y,right_eye_outer_y,left_ear_y,right_ear_y,mouth_left_y,mouth_right_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y,nose_z,left_eye_inner_z,left_eye_z,left_eye_outer_z,right_eye_inner_z,right_eye_z,right_eye_outer_z,left_ear_z,right_ear_z,mouth_left_z,mouth_right_z,left_shoulder_z,right_shoulder_z,left_elbow_z,right_elbow_z,left_wrist_z,right_wrist_z,left_pinky_z,right_pinky_z,left_index_z,right_index_z,left_thumb_z,right_thumb_z,left_hip_z,right_hip_z,left_knee_z,right_knee_z,left_ankle_z,right_ankle_z,left_heel_z,right_heel_z,left_foot_index_z,right_foot_index_z,nose_score,left_eye_inner_score,left_eye_score,left_eye_outer_score,right_eye_inner_score,right_eye_score,right_eye_outer_score,left_ear_score,right_ear_score,mouth_left_score,mouth_right_score,left_shoulder_score,right_shoulder_score,left_elbow_score,right_elbow_score,left_wrist_score,right_wrist_score,left_pinky_score,right_pinky_score,left_index_score,right_index_score,left_thumb_score,right_thumb_score,left_hip_score,right_hip_score,left_knee_score,right_knee_score,left_ankle_score,right_ankle_score,left_heel_score,right_heel_score,left_foot_index_score,right_foot_index_score
0,0,1025.1021194458008,1037.0203399658203,1044.364013671875,1051.1869812011719,1017.1731948852539,1009.9500274658203,1002.0744323730469,1062.070198059082,995.1481246948242,1038.6487197875977,1012.3203277587891,1120.7194519042969,956.1705780029297,1252.9379653930664,1028.9350891113281,1211.5569305419922,1160.6117248535156,1206.925048828125,1181.7237854003906,1186.4381790161133,1182.8084564208984,1183.3980560302734,1170.2914810180664,1086.1659622192383,971.4337921142578,1135.6075286865234,870.2518272399902,1154.2595672607422,781.7262840270996,1141.9720458984375,778.267707824707,1164.6367263793945,770.1729583740234,185.0370168685913,167.97929406166077,169.01727676391602,169.97305512428284,167.9493284225464,168.89818668365479,169.721839427948,181.24200224876404,180.30006408691406,206.71356797218323,207.63188123703003,282.0691680908203,295.3105044364929,312.9117286205292,358.27362298965454,360.1482939720154,356.6937482357025,390.8956468105316,384.56504344940186,387.50354290008545,385.6435811519623,380.34494161605835,379.1951107978821,567.6165390014648,552.450385093689,780.0458192825317,706.3228154182434,1016.036524772644,918.0695486068726,1045.7609581947327,945.3030681610107,1064.6996927261353,987.3988366127014,-0.13872219622135162,-0.1157391294836998,-0.11598625779151917,-0.11590387672185898,-0.11771616339683533,-0.1179632917046547,-0.1179632917046547,-0.01024044118821621,-0.018627408891916275,-0.09934618324041367,-0.10354738682508469,0.013695110566914082,-0.04543069750070572,-0.16442370414733887,-0.2685477137565613,-0.3898060917854309,-0.47119417786598206,-0.43890252709388733,-0.532482385635376,-0.43857303261756897,-0.516666054725647,-0.395078182220459,-0.4725121855735779,0.02046028897166252,-0.020717715844511986,-0.1215054914355278,-0.19342026114463806,-0.06392424553632736,-0.1193636953830719,-0.06742525100708008,-0.11829280108213425,-0.22554713487625122,-0.25932154059410095,0.9995728135108948,0.9989956021308899,0.9986489415168762,0.9991340041160583,0.9991135001182556,0.9990527033805847,0.9989637136459351,0.9992145299911499,0.9966756105422974,0.9986801743507385,0.9975751042366028,0.9999016523361206,0.9983769655227661,0.9535353183746338,0.796609103679657,0.8776865601539612,0.5918412208557129,0.8174288272857666,0.4767471253871918,0.8121234178543091,0.4463137090206146,0.7325918078422546,0.31626367568969727,0.9997487664222717,0.9994115829467773,0.32156652212142944,0.3380771279335022,0.3558868169784546,0.25275275111198425,0.14730967581272125,0.08151976019144058,0.32756075263023376,0.2233770787715912
1,1,931.7859649658203,942.5492477416992,950.4928779602051,958.2205581665039,920.2875137329102,912.0829582214355,904.2273330688477,967.1514129638672,893.5183525085449,946.2760734558105,916.9098472595215,1034.004020690918,853.8850021362305,1123.7488174438477,718.8309288024902,1185.3324508666992,574.6699333190918,1199.2321014404297,528.0598640441895,1186.2184524536133,527.98828125,1175.45654296875,546.449146270752,1038.6998748779297,950.5053520202637,1133.4055709838867,899.630069732666,1341.0310363769531,923.5334587097168,1371.902961730957,949.1140365600586,1363.9833068847656,835.8341217041016,183.76679241657257,167.02959895133972,168.23195815086365,169.28632378578186,165.61326384544373,165.8080404996872,165.70319294929504,179.03247892856598,175.12458622455597,204.56210911273956,204.48196470737457,282.3916447162628,295.98896384239197,385.3231644630432,340.611469745636,327.4480891227722,363.6473858356476,308.81045937538147,384.3504238128662,294.31761503219604,387.6128160953522,302.05904960632324,384.2748498916626,528.7920463085175,564.5053267478943,616.7142248153687,772.5228667259216,792.5276184082031,1009.5054960250854,838.1556630134583,1045.7803988456726,859.9866771697998,1060.6555223464966,-0.032635077834129333,-0.009434273466467857,-0.009505883790552616,-0.009470084682106972,-0.007369488012045622,-0.007604673039168119,-0.0075944471172988415,0.08769592642784119,0.10118936747312546,0.0038385228253901005,0.005299708805978298,0.08295983821153641,0.16768619418144226,-0.04368053004145622,0.11761954426765442,-0.25554710626602173,0.023874301463365555,-0.2903958559036255,0.013638513162732124,-0.30348265171051025,-0.012874930165708065,-0.265689879655838,0.007739150431007147,-0.043125201016664505,0.04259362444281578,-0.3968907296657562,-0.05709783732891083,-0.573904812335968,-0.036208685487508774,-0.597790539264679,-0.03882522135972977,-0.7008604407310486,-0.10773422569036484,0.9996155500411987,0.9990960359573364,0.998784065246582,0.999220609664917,0.9992021322250366,0.9991474151611328,0.9990673661231995,0.9992930889129639,0.9970080256462097,0.9988121390342712,0.9978175759315491,0.9999113082885742,0.9985388517379761,0.9576597809791565,0.8146504759788513,0.8896800875663757,0.6312178373336792,0.8353064656257629,0.5263034105300903,0.8305999040603638,0.4990417957305908,0.7588680982589722,0.3820807933807373,0.9997693300247192,0.9994670152664185,0.3893357813358307,0.40344104170799255,0.4193568825721741,0.32663291692733765,0.23123587667942047,0.1700964719057083,0.3944670259952545,0.29958900809288025
2,2,935.969066619873,946.8023872375488,954.7470474243164,962.3722457885742,924.7861862182617,916.658935546875,908.7143325805664,969.84375,896.8993377685547,950.0967979431152,920.3055381774902,1034.915657043457,845.5880928039551,1124.6453475952148,720.8959007263184,1172.5920867919922,606.6969680786133,1188.006591796875,575.8123970031738,1175.1387405395508,576.4956092834473,1163.9972305297852,589.4963836669922,1053.226432800293,950.3330039978027,1192.3925399780273,890.892505645752,1420.232048034668,919.6917343139648,1438.7824630737305,949.6708488464355,1452.3390197753906,834.8044395446777,184.02986884117126,167.28174805641174,168.33762645721436,169.3211817741394,165.77590227127075,165.8801543712616,165.78605711460114,179.01186347007751,175.57954251766205,204.88143146038055,204.46690142154694,287.7314507961273,299.27098989486694,397.97526240348816,363.7654137611389,347.0091497898102,422.9067385196686,320.9748351573944,436.70387148857117,301.20948672294617,437.54648208618164,311.0126602649689,435.08389234542847,549.396722316742,582.1169471740723,691.522171497345,784.9784660339355,854.7538590431213,1012.0780348777771,859.2333841323853,1052.283296585083,919.8517155647278,1062.6733589172363,-0.2678065299987793,-0.2485826313495636,-0.24891091883182526,-0.2487466037273407,-0.25136634707450867,-0.2516951262950897,-0.25169509649276733,-0.13396501541137695,-0.14532947540283203,-0.22261230647563934,-0.22818562388420105,-0.1041468158364296,-0.03323182091116905,-0.22737041115760803,-0.059477370232343674,-0.46764305233955383,-0.17533381283283234,-0.5162534117698669,-0.19906491041183472,-0.5344043970108032,-0.22959448397159576,-0.4811507761478424,-0.1934916228055954,-0.039863470941782,0.03928830847144127,-0.14304161071777344,-0.12524919211864471,-0.12783274054527283,-0.11245778948068619,-0.13482458889484406,-0.11679702252149582,-0.24767769873142242,-0.21479424834251404,0.9996539354324341,0.9991862177848816,0.9989054799079895,0.9992983341217041,0.9992817640304565,0.9992325305938721,0.9991604685783386,0.9993635416030884,0.9973067045211792,0.9989306330680847,0.9980355501174927,0.9999193549156189,0.9986823201179504,0.959985077381134,0.8256677985191345,0.8995789289474487,0.658957839012146,0.8503748774528503,0.5620368719100952,0.8463110327720642,0.5387081503868103,0.7808728218078613,0.4334249794483185,0.9997873306274414,0.9995160102844238,0.4483376145362854,0.45985639095306396,0.47454506158828735,0.39072296023368835,0.2936733067035675,0.2450798898935318,0.4522722661495209,0.36607566475868225
3,3,933.4836959838867,943.707447052002,952.5918388366699,961.0189819335938,923.401050567627,916.5589714050293,909.3625259399414,969.3514251708984,896.5295791625977,947.695426940918,921.4070320129395,1035.6707382202148,845.9688377380371,1126.2555313110352,727.8904151916504,1169.740219116211,617.3367691040039,1186.2158203125,581.3109970092773,1171.4140319824219,582.9616928100586,1160.1848602294922,595.9945106506348,1058.8700866699219,950.3600692749023,1203.112449645996,889.8806190490723,1415.361099243164,917.4704933166504,1438.4934997558594,945.186882019043,1431.8388748168945,834.9956130981445,183.3541613817215,166.96791350841522,168.16180765628815,169.23083424568176,165.23975551128387,165.2740341424942,165.07132351398468,178.994482755661,175.49474716186523,204.2636114358902,203.66283416748047,290.15709042549133,300.62259793281555,404.39531207084656,366.5851128101349,349.1825759410858,424.6512472629547,325.7289755344391,444.1296851634979,304.701851606369,449.28045988082886,313.52710247039795,445.7646954059601,552.9204368591309,585.2444458007812,704.0835356712341,788.7503385543823,861.240599155426,1010.4512000083923,861.8590950965881,1052.3043465614319,932.2659230232239,1061.6858124732971,-0.23916026949882507,-0.21939869225025177,-0.21956974267959595,-0.21956267952919006,-0.21981869637966156,-0.22014740109443665,-0.22014735639095306,-0.10520301759243011,-0.10664563626050949,-0.19471457600593567,-0.1974562704563141,-0.07681334018707275,-0.0017749416874721646,-0.19672855734825134,-0.04463232308626175,-0.4302157461643219,-0.1859210580587387,-0.47726619243621826,-0.2137279212474823,-0.4959043860435486,-0.2417522817850113,-0.4433524012565613,-0.20359507203102112,-0.038536734879016876,0.038070980459451675,-0.15419617295265198,-0.11789112538099289,-0.1340816169977188,-0.10019069164991379,-0.14035969972610474,-0.10437612980604172,-0.25832751393318176,-0.2076280564069748,0.9996885061264038,0.9992673397064209,0.999014675617218,0.9993682503700256,0.9993534088134766,0.9993090629577637,0.999244213104248,0.9994268417358398,0.9975753426551819,0.9990372657775879,0.9982317090034485,0.9999265074729919,0.998811662197113,0.9616932272911072,0.8361088037490845,0.9084568023681641,0.6844297051429749,0.8637528419494629,0.5944752097129822,0.8602681756019592,0.5746426582336426,0.8003618121147156,0.479653000831604,0.999802827835083,0.999559223651886,0.4994724988937378,0.506801962852478,0.5201237201690674,0.4451259970664978,0.3352481722831726,0.3036724925041199,0.5008004903793335,0.42275023460388184
4,4,935.1173973083496,945.3042984008789,954.0633201599121,962.3764801025391,924.8343086242676,917.8155899047852,910.5083656311035,970.5048751831055,897.9587745666504,949.2256736755371,922.4196624755859,1036.7533493041992,849.0136528015137,1127.2108840942383,735.3603172302246,1166.7760848999023,630.8748435974121,1182.5771713256836,592.8121376037598,1166.7052459716797,584.6413993835449,1155.5006790161133,600.5482864379883,1059.8430633544922,950.4376029968262,1199.051742553711,895.3291511535645,1416.7411422729492,920.376091003418,1447.222023010254,945.6046485900879,1422.7122116088867,835.1023292541504,182.68764317035675,166.52576744556427,167.80081987380981,169.0009582042694,164.92611408233643,164.88467395305634,164.57354307174683,178.62493336200714,174.64363932609558,203.4110391139984,202.3194658756256,290.5597758293152,300.23114562034607,403.59299898147583,372.9623544216156,355.4913568496704,442.5092875957489,335.76582312583923,461.8665111064911,313.76354455947876,468.7310564517975,321.1439108848572,466.2013256549835,553.9492464065552,585.621542930603,708.6621952056885,787.8574204444885,872.535617351532,1010.3529667854309,880.644428730011,1053.7137293815613,947.714352607727,1060.8278489112854,-0.14066030085086823,-0.11716680228710175,-0.11733852326869965,-0.11724782735109329,-0.11731751263141632,-0.1175551563501358,-0.11771678179502487,0.003202743362635374,0.0015374906361103058,-0.09430783241987228,-0.09719835221767426,0.02327844128012657,0.10101417452096939,-0.08384879678487778,0.07943473011255264,-0.30787426233291626,-0.04760010913014412,-0.3498043715953827,-0.07037083804607391,-0.3671378195285797,-0.09881346672773361,-0.3199659585952759,-0.06450186669826508,-0.03792351856827736,0.037513554096221924,-0.21481016278266907,-0.17934325337409973,-0.2736913561820984,-0.2015053927898407,-0.28773626685142517,-0.20926061272621155,-0.4086199700832367,-0.31088265776634216,0.9997196197509766,0.9993405342102051,0.999113142490387,0.9994313716888428,0.9994180202484131,0.9993781447410583,0.9993197321891785,0.9994840621948242,0.9978176951408386,0.9991334676742554,0.9984084963798523,0.9999333620071411,0.9989298582077026,0.963303804397583,0.8478167057037354,0.916829526424408,0.7145419716835022,0.8763286471366882,0.6329905390739441,0.8732928037643433,0.6153308153152466,0.8187471628189087,0.5296033024787903,0.9998172521591187,0.9995988607406616,0.5483700037002563,0.552620530128479,0.5648523569107056,0.4944934844970703,0.3851099908351898,0.3591296374797821,0.5478168725967407,0.47496452927589417
5,5,947.7096748352051,955.8054542541504,965.3276824951172,973.2116317749023,934.0253448486328,925.9436988830566,916.6263771057129,976.8671035766602,901.2256050109863,957.469310760498,933.5085868835449,1036.962547302246,849.5738410949707,1128.753547668457,763.8852310180664,1166.1370468139648,683.7439727783203,1174.1796112060547,657.5139427185059,1160.5793380737305,660.2128028869629,1151.1480331420898,671.8245506286621,1063.0418014526367,951.002025604248,1194.132957458496,904.9792098999023,1392.8910827636719,922.5123023986816,1418.9111709594727,945.0599098205566,1408.7275314331055,839.2583084106445,179.36121582984924,163.24277579784393,164.7845095396042,166.47228956222534,161.917222738266,161.89886033535004,161.37114644050598,176.99008405208588,169.91241574287415,200.72679698467255,198.9566195011139,290.9254467487335,297.95687913894653,402.8813874721527,381.08336448669434,359.1697919368744,457.98056960105896,344.42814588546753,493.515762090683,321.42457723617554,498.2710933685303,327.6805078983307,490.8253562450409,555.086395740509,587.9783034324646,698.0071091651917,795.8308553695679,868.5232472419739,1010.1685380935669,887.9537272453308,1053.1053400039673,919.4345784187317,1060.0686979293823,-0.14820417761802673,-0.12606751918792725,-0.12623396515846252,-0.12622281908988953,-0.12632469832897186,-0.1265694499015808,-0.1266692727804184,-0.011902710422873497,-0.013035152107477188,-0.10444922745227814,-0.10700654238462448,0.01548179890960455,0.08391886204481125,-0.09429337084293365,0.0543849840760231,-0.31983205676078796,-0.07231149822473526,-0.3616392910480499,-0.09548724442720413,-0.3765987753868103,-0.12321296334266663,-0.33128148317337036,-0.0890549048781395,-0.03400738537311554,0.03367988020181656,-0.23508581519126892,-0.14220038056373596,-0.30009499192237854,-0.13535380363464355,-0.31387510895729065,-0.13957661390304565,-0.4388786852359772,-0.2350207418203354,0.9997475743293762,0.9994062185287476,0.9992015361785889,0.9994879961013794,0.9994760155677795,0.9994401335716248,0.9993875622749329,0.9995352625846863,0.9980352520942688,0.9992198348045349,0.9985674023628235,0.9999393224716187,0.9990359544754028,0.9645124077796936,0.8584316372871399,0.9242197871208191,0.7410661578178406,0.8873735070228577,0.666995108127594,0.8847441077232361,0.6513507962226868,0.8348314166069031,0.5736157894134521,0.9998296499252319,0.9996328949928284,0.5925354957580566,0.5927807688713074,0.6054580211639404,0.5384114384651184,0.43533897399902344,0.4056062698364258,0.5904196500778198,0.5200850963592529
6,6,960.2675628662109,967.6158142089844,976.4222717285156,984.1413116455078,947.3782539367676,940.378246307373,932.3976516723633,990.0921249389648,916.2696647644043,969.6097183227539,947.2840690612793,1045.8890533447266,859.998779296875,1129.5159530639648,794.0238189697266,1165.6847763061523,740.1080131530762,1171.8443298339844,721.73583984375,1158.1902694702148,721.9392013549805,1149.2227935791016,733.9466285705566,1065.2775192260742,953.3116722106934,1194.3156051635742,913.4487533569336,1391.3061904907227,923.8885116577148,1396.7348098754883,945.0527572631836,1402.6088333129883,844.6109962463379,177.49116361141205,159.8925143480301,161.03359043598175,162.47617363929749,159.19421195983887,159.10970628261566,158.70695650577545,172.3174238204956,165.38580179214478,198.14727365970612,197.16133654117584,291.69280529022217,292.5338065624237,408.60244274139404,386.1849904060364,358.8704252243042,470.58332562446594,342.819367647171,495.5233955383301,321.08214497566223,499.5150697231293,327.24695563316345,493.4962570667267,554.2794799804688,586.441912651062,694.3452501296997,797.2682404518127,870.7865381240845,1010.2957391738892,901.2459826469421,1052.2370767593384,933.0716800689697,1059.5413541793823,-0.15570497512817383,-0.1323539763689041,-0.13259068131446838,-0.13259096443653107,-0.1347966492176056,-0.1351155936717987,-0.13512973487377167,-0.011655008420348167,-0.02092665806412697,-0.10899942368268967,-0.11414553970098495,0.02177616022527218,0.06428011506795883,-0.08153679966926575,-0.005099732894450426,-0.318903386592865,-0.17674164474010468,-0.36532050371170044,-0.20973564684391022,-0.3808053433895111,-0.2330358773469925,-0.33113640546798706,-0.1920796036720276,-0.026228925213217735,0.025928275659680367,-0.3285849392414093,-0.10627413541078568,-0.3596578538417816,-0.06827232241630554,-0.3705621659755707,-0.07109452784061432,-0.5108731985092163,-0.18304653465747833,0.9997727274894714,0.9994653463363647,0.999281108379364,0.9995389580726624,0.9995282292366028,0.9994959235191345,0.9994485974311829,0.9995814561843872,0.9982308745384216,0.9992976188659668,0.9987104535102844,0.999944806098938,0.9991310238838196,0.9655766487121582,0.8652719855308533,0.9310488104820251,0.7587193846702576,0.8975585103034973,0.6905049085617065,0.8952683210372925,0.6769469380378723,0.8495770692825317,0.6048962473869324,0.999842643737793,0.9996637105941772,0.632962167263031,0.6299482583999634,0.6429365277290344,0.5801354646682739,0.48133906722068787,0.449032187461853,0.6293209791183472,0.5618889927864075
7,7,979.5192718505859,989.4677352905273,998.0760955810547,1006.6034317016602,970.3210830688477,962.8001403808594,955.0249671936035,1013.7197113037109,942.1576881408691,989.3229675292969,966.9710540771484,1062.3393630981445,878.4458541870117,1132.0287322998047,849.9181938171387,1165.7677459716797,824.7172737121582,1173.5069274902344,821.3435554504395,1164.2073440551758,826.4512252807617,1155.1587295532227,830.8540534973145,1065.6310272216797,955.4930305480957,1190.3089141845703,925.8158683776855,1293.7519454956055,924.261531829834,1297.957420349121,944.835033416748,1299.0432357788086,843.779182434082,170.85760474205017,152.9216569662094,153.36591124534607,153.86637926101685,151.82606041431427,151.67684376239777,151.42321407794952,163.86154532432556,157.1739935874939,189.7459352016449,188.81500482559204,290.71678161621094,279.9770128726959,422.37414836883545,394.89388704299927,358.39184403419495,504.3792235851288,336.2076795101166,544.2431473731995,316.4372777938843,545.4430603981018,323.27584862709045,532.3415422439575,546.1153721809387,574.9144434928894,692.42107629776,797.3182582855225,879.2532634735107,1009.939112663269,903.5325121879578,1054.5323610305786,956.3960838317871,1050.2197551727295,-0.18621666729450226,-0.16682295501232147,-0.16715067625045776,-0.16715295612812042,-0.17096930742263794,-0.17129896581172943,-0.17129899561405182,-0.053799159824848175,-0.07149513810873032,-0.14114297926425934,-0.14852188527584076,0.00014467464643530548,0.017469601705670357,-0.06736136972904205,0.01918044500052929,-0.26995161175727844,-0.05643528699874878,-0.3095632493495941,-0.0750194564461708,-0.3296770453453064,-0.10390599817037582,-0.28229445219039917,-0.07018007338047028,-0.01676482893526554,0.01647484116256237,-0.23190420866012573,-0.094222791492939,-0.16469652950763702,-0.07535016536712646,-0.16513745486736298,-0.07971473783254623,-0.278715580701828,-0.1936470866203308,0.9997941851615906,0.9995147585868835,0.9993483424186707,0.9995814561843872,0.9995729923248291,0.9995440244674683,0.9995020031929016,0.9996185302734375,0.9984012842178345,0.9993658661842346,0.9988380670547485,0.9999496340751648,0.9992172718048096,0.9646742939949036,0.8672881126403809,0.9364935755729675,0.7735292911529541,0.9055180549621582,0.7077474594116211,0.9036046266555786,0.6962015628814697,0.8611835241317749,0.628911554813385,0.9998555183410645,0.9996946454048157,0.6662815809249878,0.6580079793930054,0.6556375026702881,0.6125701069831848,0.4766692817211151,0.46862977743148804,0.6442537903785706,0.5926826000213623
8,8,984.0181732177734,994.7196578979492,1002.0283126831055,1009.3001174926758,975.3872680664062,968.1632995605469,960.3559112548828,1017.4431610107422,945.6599807739258,993.7431335449219,971.044807434082,1068.9895248413086,884.5077323913574,1133.880500793457,857.6969718933105,1167.6411437988281,830.2237701416016,1174.3696975708008,827.5784683227539,1164.9054336547852,831.8018531799316,1155.7492446899414,835.3305816650391,1065.838623046875,957.5911331176758,1189.4707489013672,928.1223106384277,1283.4710311889648,923.1835556030273,1290.6529998779297,944.1731071472168,1288.9363861083984,840.6054496765137,168.1419163942337,150.36505043506622,150.8349895477295,151.40770018100739,148.93360376358032,148.56234848499298,148.16460371017456,162.0624804496765,153.78304839134216,186.46942913532257,185.67540407180786,289.9681556224823,274.1686677932739,423.26931953430176,396.16921305656433,353.43029379844666,502.23753333091736,329.1114556789398,541.4973163604736,311.64753913879395,542.4007272720337,319.1707491874695,529.7848391532898,541.6508460044861,570.6582927703857,692.0865941047668,796.3802790641785,886.4876317977905,1009.5883440971375,910.2889108657837,1055.020887851715,960.9269142150879,1042.9914379119873,-0.25973454117774963,-0.24081435799598694,-0.24098366498947144,-0.24098458886146545,-0.24514125287532806,-0.24546952545642853,-0.24562998116016388,-0.12009067833423615,-0.13898402452468872,-0.2108253687620163,-0.21861837804317474,-0.049317922443151474,-0.029267122969031334,-0.0771927535533905,0.01923181302845478,-0.2912974953651428,-0.04085693880915642,-0.3320956230163574,-0.05840162932872772,-0.3521954417228699,-0.09041713178157806,-0.3036295175552368,-0.05541136488318443,-0.015524436719715595,0.01526886411011219,-0.15228751301765442,-0.06981270015239716,-0.06975232064723969,-0.034685298800468445,-0.06901899725198746,-0.03766047582030296,-0.18190795183181763,-0.15563265979290009,0.9998144507408142,0.9995623230934143,0.9994124174118042,0.9996224045753479,0.9996151328086853,0.9995890855789185,0.9995514154434204,0.9996554255485535,0.9985595941543579,0.9994286894798279,0.9989538192749023,0.999954104423523,0.9992950558662415,0.9663839340209961,0.8753939270973206,0.9423686861991882,0.7933056354522705,0.9141506552696228,0.7322124242782593,0.9124893546104431,0.7221382856369019,0.8737879991531372,0.6604586243629456,0.9998668432235718,0.9997225403785706,0.6975690126419067,0.6884463429450989,0.6791982054710388,0.6471278667449951,0.48888638615608215,0.5015382766723633,0.6690095067024231,0.6274386644363403
9,9,1005.9804153442383,1013.7884902954102,1022.1640777587891,1030.3989028930664,994.7067260742188,986.8765640258789,979.2609786987305,1038.0781173706055,966.661491394043,1016.1514663696289,992.7422332763672,1085.5706405639648,908.0666542053223,1134.5458602905273,917.2647285461426,1185.6938552856445,916.0593795776367,1195.4205322265625,920.5035209655762,1189.694480895996,922.0416069030762,1180.6472396850586,925.1436996459961,1067.9817581176758,961.0488510131836,1181.7067337036133,928.3270454406738,1222.9999923706055,922.5282669067383,1217.4294662475586,944.710865020752,1242.311897277832,833.6988258361816,168.63818407058716,150.49361944198608,150.81691682338715,151.34224891662598,149.65226411819458,149.41447019577026,149.11246418952942,161.45240128040314,154.84512269496918,187.05578684806824,186.57186269760132,288.4644019603729,271.06518030166626,428.79300713539124,402.85383582115173,356.3478398323059,515.7052052021027,331.0652732849121,548.0625915527344,313.1047832965851,546.3231039047241,320.04860401153564,534.610401391983,541.7586064338684,559.5722937583923,719.358479976654,786.0617995262146,939.0975737571716,1006.081109046936,971.3875937461853,1052.7922296524048,1008.8524961471558,1031.21239900589,-0.31339988112449646,-0.2986292243003845,-0.2989523708820343,-0.29895272850990295,-0.3062731623649597,-0.3066004514694214,-0.30676525831222534,-0.18111643195152283,-0.21467192471027374,-0.26383182406425476,-0.2755582928657532,-0.09182023257017136,-0.10836660116910934,-0.11139737814664841,-0.06353074312210083,-0.29697751998901367,-0.08191701024770737,-0.33403027057647705,-0.08424508571624756,-0.35765305161476135,-0.12025395780801773,-0.31015336513519287,-0.09233694523572922,-0.004658084828406572,0.004484629258513451,-0.0731913298368454,-0.07726922631263733,-0.006576599553227425,-0.036747340112924576,-0.008342091925442219,-0.038848139345645905,-0.1243300512433052,-0.15071722865104675,0.9998273849487305,0.9995949268341064,0.9994597434997559,0.9996523261070251,0.9996439218521118,0.9996194839477539,0.9995868802070618,0.9996798038482666,0.9986686110496521,0.9994733929634094,0.9990434050559998,0.9999574422836304,0.9993554949760437,0.9647310972213745,0.8255512714385986,0.9461523294448853,0.726154088973999,0.9197652339935303,0.6697349548339844,0.9185027480125427,0.660933256149292,0.8820968270301819,0.6056337952613831,0.999878466129303,0.9997472763061523,0.72612065076828,0.7172995805740356,0.7088173627853394,0.6808183193206787,0.5200825333595276,0.5408449769020081,0.6978523135185242,0.6614049077033997
